model,arm,task,press,kept,lang,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high
llama31-8b,qa,niah_single,none,1.0,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,qa,niah_single,snapkv,0.25,en,52.0,49.0,3.0,0.0,0.0,0.9423,0.0577,0.0198,0.1564,0.0,0.0,0.0688,5.0,5.0,49.0,7.0,0.0,0.0,0.0,0.0688
llama31-8b,qa,niah_single,snapkv,0.25,ja,43.0,21.0,15.0,7.0,0.0,0.4884,0.3488,0.2242,0.4983,0.1628,0.0812,0.2997,3.0,3.0,21.0,15.0,7.0,0.1628,0.0812,0.2997
llama31-8b,qa,niah_single,snapkv,0.25,ko,79.0,76.0,1.0,2.0,0.0,0.962,0.0127,0.0022,0.0683,0.0253,0.007,0.0877,0.0,0.0,76.0,1.0,2.0,0.0253,0.007,0.0877
llama31-8b,qa,niah_single,snapkv,0.25,pl,4.0,0.0,1.0,3.0,0.0,0.0,0.25,0.0456,0.6994,0.75,0.3006,0.9544,1.0,1.0,0.0,1.0,3.0,0.75,0.3006,0.9544
llama31-8b,qa,niah_single,snapkv,0.25,sw,94.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0393,0.0,0.0,0.0393,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0393
llama31-8b,qa,niah_single,snapkv,0.25,vi,5.0,4.0,1.0,0.0,0.0,0.8,0.2,0.0362,0.6245,0.0,0.0,0.4345,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.4345
llama31-8b,qa,niah_single,snapkv,0.25,zh,25.0,24.0,0.0,1.0,0.0,0.96,0.0,0.0,0.1332,0.04,0.0071,0.1954,0.0,0.0,24.0,0.0,1.0,0.04,0.0071,0.1954
llama31-8b,qa,niah_single,snapkv,0.5,en,94.0,90.0,4.0,0.0,0.0,0.9574,0.0426,0.0167,0.1044,0.0,0.0,0.0393,3.0,3.0,90.0,4.0,0.0,0.0,0.0,0.0393
llama31-8b,qa,niah_single,snapkv,0.5,ja,84.0,77.0,5.0,2.0,0.0,0.9167,0.0595,0.0257,0.1319,0.0238,0.0066,0.0827,0.0,0.0,77.0,6.0,2.0,0.0238,0.0066,0.0827
llama31-8b,qa,niah_single,snapkv,0.5,ko,86.0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0428,0.0,0.0,0.0428,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0428
llama31-8b,qa,niah_single,snapkv,0.5,pl,40.0,31.0,8.0,1.0,0.0,0.775,0.2,0.105,0.3476,0.025,0.0044,0.1288,8.0,8.0,31.0,9.0,1.0,0.025,0.0044,0.1288
llama31-8b,qa,niah_single,snapkv,0.5,sw,97.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0381,0.0,0.0,0.0381,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0381
llama31-8b,qa,niah_single,snapkv,0.5,vi,17.0,15.0,2.0,0.0,0.0,0.8824,0.1176,0.0329,0.3434,0.0,0.0,0.1843,1.0,1.0,15.0,2.0,0.0,0.0,0.0,0.1843
llama31-8b,qa,niah_single,snapkv,0.5,zh,76.0,63.0,7.0,6.0,0.0,0.8289,0.0921,0.0453,0.1781,0.0789,0.0367,0.1617,3.0,3.0,63.0,7.0,6.0,0.0789,0.0367,0.1617
llama31-8b,qa,niah_single,streaming_llm,0.25,en,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1246,0.0,0.0,0.1246,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.1246
llama31-8b,qa,niah_single,streaming_llm,0.25,ja,25.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1332,0.0,0.0,0.1332,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.1332
llama31-8b,qa,niah_single,streaming_llm,0.25,ko,23.0,21.0,0.0,2.0,0.0,0.913,0.0,0.0,0.1431,0.087,0.0242,0.268,0.0,0.0,21.0,0.0,2.0,0.087,0.0242,0.268
llama31-8b,qa,niah_single,streaming_llm,0.25,pl,28.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1206,0.0,0.0,0.1206,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.1206
llama31-8b,qa,niah_single,streaming_llm,0.25,sw,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1246,0.0,0.0,0.1246,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.1246
llama31-8b,qa,niah_single,streaming_llm,0.25,vi,19.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1682,0.0,0.0,0.1682,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.1682
llama31-8b,qa,niah_single,streaming_llm,0.25,zh,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1246,0.0,0.0,0.1246,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.1246
llama31-8b,qa,niah_single,streaming_llm,0.5,en,46.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0771,0.0,0.0,0.0771,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0771
llama31-8b,qa,niah_single,streaming_llm,0.5,ja,45.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0787,0.0,0.0,0.0787,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0787
llama31-8b,qa,niah_single,streaming_llm,0.5,ko,40.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0876,0.0,0.0,0.0876,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0876
llama31-8b,qa,niah_single,streaming_llm,0.5,pl,49.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0727,0.0,0.0,0.0727,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0727
llama31-8b,qa,niah_single,streaming_llm,0.5,sw,43.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.082,0.0,0.0,0.082,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.082
llama31-8b,qa,niah_single,streaming_llm,0.5,vi,42.0,40.0,0.0,2.0,0.0,0.9524,0.0,0.0,0.0838,0.0476,0.0132,0.1579,0.0,0.0,40.0,0.0,2.0,0.0476,0.0132,0.1579
llama31-8b,qa,niah_single,streaming_llm,0.5,zh,43.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.082,0.0,0.0,0.082,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.082
qwen25-7b-1m,joint,niah_single,knorm,0.25,en,18.0,1.0,10.0,7.0,0.0,0.0556,0.5556,0.3372,0.7544,0.3889,0.203,0.6138,4.0,4.0,1.0,10.0,7.0,0.3889,0.203,0.6138
qwen25-7b-1m,joint,niah_single,knorm,0.25,ja,11.0,1.0,7.0,3.0,0.0,0.0909,0.6364,0.3538,0.8483,0.2727,0.0975,0.5657,2.0,2.0,1.0,7.0,3.0,0.2727,0.0975,0.5657
qwen25-7b-1m,joint,niah_single,knorm,0.25,ko,34.0,5.0,25.0,4.0,0.0,0.1471,0.7353,0.5688,0.854,0.1176,0.0467,0.2662,12.0,12.0,5.0,25.0,4.0,0.1176,0.0467,0.2662
qwen25-7b-1m,joint,niah_single,knorm,0.25,pl,12.0,1.0,10.0,1.0,0.0,0.0833,0.8333,0.552,0.953,0.0833,0.0149,0.3539,5.0,5.0,1.0,10.0,1.0,0.0833,0.0149,0.3539
qwen25-7b-1m,joint,niah_single,knorm,0.25,sw,30.0,1.0,4.0,25.0,0.0,0.0333,0.1333,0.0531,0.2968,0.8333,0.6644,0.9266,0.0,0.0,1.0,4.0,25.0,0.8333,0.6644,0.9266
qwen25-7b-1m,joint,niah_single,knorm,0.25,vi,21.0,1.0,13.0,7.0,0.0,0.0476,0.619,0.4088,0.7925,0.3333,0.1719,0.5463,4.0,4.0,1.0,14.0,7.0,0.3333,0.1719,0.5463
qwen25-7b-1m,joint,niah_single,knorm,0.25,zh,31.0,0.0,9.0,22.0,0.0,0.0,0.2903,0.161,0.4659,0.7097,0.5341,0.839,1.0,1.0,0.0,9.0,22.0,0.7097,0.5341,0.839
qwen25-7b-1m,joint,niah_single,knorm,0.5,en,49.0,9.0,36.0,4.0,0.0,0.1837,0.7347,0.5974,0.8379,0.0816,0.0322,0.1919,8.0,8.0,9.0,36.0,4.0,0.0816,0.0322,0.1919
qwen25-7b-1m,joint,niah_single,knorm,0.5,ja,49.0,8.0,33.0,8.0,0.0,0.1633,0.6735,0.5338,0.7879,0.1633,0.0851,0.2904,11.0,11.0,8.0,33.0,8.0,0.1633,0.0851,0.2904
qwen25-7b-1m,joint,niah_single,knorm,0.5,ko,95.0,63.0,32.0,0.0,0.0,0.6632,0.3368,0.2498,0.4366,0.0,0.0,0.0389,17.0,17.0,63.0,32.0,0.0,0.0,0.0,0.0389
qwen25-7b-1m,joint,niah_single,knorm,0.5,pl,46.0,7.0,37.0,2.0,0.0,0.1522,0.8043,0.6683,0.8935,0.0435,0.012,0.1453,24.0,24.0,7.0,37.0,2.0,0.0435,0.012,0.1453
qwen25-7b-1m,joint,niah_single,knorm,0.5,sw,43.0,9.0,22.0,12.0,0.0,0.2093,0.5116,0.3675,0.6538,0.2791,0.1675,0.4269,7.0,7.0,9.0,22.0,12.0,0.2791,0.1675,0.4269
qwen25-7b-1m,joint,niah_single,knorm,0.5,vi,51.0,11.0,34.0,6.0,0.0,0.2157,0.6667,0.5297,0.7803,0.1176,0.055,0.2338,10.0,10.0,11.0,34.0,9.0,0.1765,0.0957,0.3025
qwen25-7b-1m,joint,niah_single,knorm,0.5,zh,55.0,10.0,27.0,18.0,0.0,0.1818,0.4909,0.3638,0.6192,0.3273,0.2181,0.459,7.0,7.0,10.0,27.0,18.0,0.3273,0.2181,0.459
qwen25-7b-1m,joint,niah_single,none,1.0,en,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,joint,niah_single,none,1.0,ja,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,none,1.0,ko,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,none,1.0,pl,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,none,1.0,sw,58.0,57.0,1.0,0.0,0.0,0.9828,0.0172,0.003,0.0914,0.0,0.0,0.0621,1.0,1.0,57.0,1.0,0.0,0.0,0.0,0.0621
qwen25-7b-1m,joint,niah_single,none,1.0,vi,96.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0385,0.0,0.0,0.0385,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0385
qwen25-7b-1m,joint,niah_single,none,1.0,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,joint,niah_single,snapkv,0.25,en,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ja,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ko,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,snapkv,0.25,pl,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,snapkv,0.25,sw,53.0,48.0,5.0,0.0,0.0,0.9057,0.0943,0.041,0.2025,0.0,0.0,0.0676,2.0,2.0,48.0,5.0,0.0,0.0,0.0,0.0676
qwen25-7b-1m,joint,niah_single,snapkv,0.25,vi,96.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0385,0.0,0.0,0.0385,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0385
qwen25-7b-1m,joint,niah_single,snapkv,0.25,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,joint,niah_single,snapkv,0.5,en,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ja,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ko,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,snapkv,0.5,pl,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,joint,niah_single,snapkv,0.5,sw,60.0,59.0,1.0,0.0,0.0,0.9833,0.0167,0.0029,0.0886,0.0,0.0,0.0602,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0602
qwen25-7b-1m,joint,niah_single,snapkv,0.5,vi,96.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0385,0.0,0.0,0.0385,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0385
qwen25-7b-1m,joint,niah_single,snapkv,0.5,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,en,40.0,27.0,0.0,13.0,0.0,0.675,0.0,0.0,0.0876,0.325,0.2008,0.4798,0.0,0.0,27.0,0.0,13.0,0.325,0.2008,0.4798
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ja,64.0,28.0,0.0,36.0,0.0,0.4375,0.0,0.0,0.0566,0.5625,0.4409,0.6771,0.0,0.0,28.0,0.0,36.0,0.5625,0.4409,0.6771
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ko,55.0,28.0,0.0,27.0,0.0,0.5091,0.0,0.0,0.0653,0.4909,0.3638,0.6192,0.0,0.0,28.0,0.0,27.0,0.4909,0.3638,0.6192
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,pl,48.0,28.0,0.0,20.0,0.0,0.5833,0.0,0.0,0.0741,0.4167,0.2885,0.5572,0.0,0.0,28.0,0.0,20.0,0.4167,0.2885,0.5572
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,sw,16.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1936,0.0,0.0,0.1936,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.1936
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,vi,33.0,28.0,0.0,5.0,0.0,0.8485,0.0,0.0,0.1043,0.1515,0.0665,0.3092,0.0,0.0,28.0,0.0,5.0,0.1515,0.0665,0.3092
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,zh,32.0,25.0,0.0,7.0,0.0,0.7812,0.0,0.0,0.1072,0.2188,0.1102,0.3876,0.0,0.0,25.0,0.0,7.0,0.2188,0.1102,0.3876
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,en,53.0,45.0,0.0,8.0,0.0,0.8491,0.0,0.0,0.0676,0.1509,0.0785,0.2705,0.0,0.0,45.0,0.0,8.0,0.1509,0.0785,0.2705
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ja,64.0,46.0,0.0,18.0,0.0,0.7188,0.0,0.0,0.0566,0.2812,0.1859,0.4013,0.0,0.0,46.0,0.0,18.0,0.2812,0.1859,0.4013
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ko,64.0,49.0,0.0,15.0,0.0,0.7656,0.0,0.0,0.0566,0.2344,0.1475,0.3513,0.0,0.0,49.0,0.0,15.0,0.2344,0.1475,0.3513
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,pl,58.0,49.0,0.0,9.0,0.0,0.8448,0.0,0.0,0.0621,0.1552,0.0838,0.2693,0.0,0.0,49.0,0.0,9.0,0.1552,0.0838,0.2693
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,sw,25.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1332,0.0,0.0,0.1332,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.1332
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,vi,53.0,49.0,0.0,4.0,0.0,0.9245,0.0,0.0,0.0676,0.0755,0.0297,0.1786,0.0,0.0,49.0,0.0,4.0,0.0755,0.0297,0.1786
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,zh,49.0,42.0,0.0,7.0,0.0,0.8571,0.0,0.0,0.0727,0.1429,0.071,0.2667,0.0,0.0,42.0,0.0,7.0,0.1429,0.071,0.2667
qwen25-7b-1m,qa,niah_none,knorm,0.25,en,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2065,1.0,0.0,0.0,0.7935,0.0,0.0,0.0,1.0,1.0,1.0,0.2065,1.0
qwen25-7b-1m,qa,niah_none,knorm,0.25,ko,8.0,4.0,4.0,0.0,4.0,0.5,0.5,0.2152,0.7848,0.0,0.0,0.3244,0.0,0.0,4.0,8.0,5.0,0.625,0.3057,0.8632
qwen25-7b-1m,qa,niah_none,knorm,0.25,sw,4.0,1.0,1.0,2.0,1.0,0.25,0.25,0.0456,0.6994,0.5,0.15,0.85,0.0,0.0,1.0,1.0,3.0,0.75,0.3006,0.9544
qwen25-7b-1m,qa,niah_none,knorm,0.5,en,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7935,0.0,0.0,0.7935,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7935
qwen25-7b-1m,qa,niah_none,knorm,0.5,ja,4.0,1.0,2.0,1.0,1.0,0.25,0.5,0.15,0.85,0.25,0.0456,0.6994,0.0,0.0,1.0,3.0,2.0,0.5,0.15,0.85
qwen25-7b-1m,qa,niah_none,knorm,0.5,ko,46.0,45.0,1.0,0.0,45.0,0.9783,0.0217,0.0038,0.1134,0.0,0.0,0.0771,0.0,0.0,45.0,28.0,0.0,0.0,0.0,0.0771
qwen25-7b-1m,qa,niah_none,knorm,0.5,sw,2.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0945,0.9055,0.0,0.0,0.6576,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6576
qwen25-7b-1m,qa,niah_none,knorm,0.5,vi,7.0,3.0,3.0,1.0,3.0,0.4286,0.4286,0.1582,0.7495,0.1429,0.0257,0.5131,0.0,0.0,3.0,4.0,3.0,0.4286,0.1582,0.7495
qwen25-7b-1m,qa,niah_none,knorm,0.5,zh,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7935,0.0,0.0,0.7935,0.0,0.0,1.0,1.0,1.0,1.0,0.2065,1.0
qwen25-7b-1m,qa,niah_none,none,1.0,en,4.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.4899,0.0,0.0,0.4899,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.4899
qwen25-7b-1m,qa,niah_none,none,1.0,ja,28.0,28.0,0.0,0.0,28.0,1.0,0.0,0.0,0.1206,0.0,0.0,0.1206,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.1206
qwen25-7b-1m,qa,niah_none,none,1.0,ko,62.0,62.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0583,0.0,0.0,0.0583,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0583
qwen25-7b-1m,qa,niah_none,none,1.0,sw,45.0,45.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0787,0.0,0.0,0.0787,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0787
qwen25-7b-1m,qa,niah_none,none,1.0,vi,10.0,10.0,0.0,0.0,10.0,1.0,0.0,0.0,0.2775,0.0,0.0,0.2775,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.2775
qwen25-7b-1m,qa,niah_none,none,1.0,zh,6.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.3903,0.0,0.0,0.3903,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.3903
qwen25-7b-1m,qa,niah_none,snapkv,0.25,en,3.0,1.0,2.0,0.0,1.0,0.3333,0.6667,0.2077,0.9385,0.0,0.0,0.5615,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5615
qwen25-7b-1m,qa,niah_none,snapkv,0.25,ja,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6576,1.0,0.3424,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3424,1.0
qwen25-7b-1m,qa,niah_none,snapkv,0.25,ko,31.0,30.0,0.0,1.0,30.0,0.9677,0.0,0.0,0.1103,0.0323,0.0057,0.1619,0.0,0.0,30.0,16.0,12.0,0.3871,0.2373,0.5618
qwen25-7b-1m,qa,niah_none,snapkv,0.25,sw,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.4345,0.0,0.0,0.4345,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.4345
qwen25-7b-1m,qa,niah_none,snapkv,0.25,vi,2.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0945,0.9055,0.0,0.0,0.6576,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.6576
qwen25-7b-1m,qa,niah_none,snapkv,0.25,zh,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7935,1.0,0.2065,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2065,1.0
qwen25-7b-1m,qa,niah_none,snapkv,0.5,en,4.0,2.0,2.0,0.0,2.0,0.5,0.5,0.15,0.85,0.0,0.0,0.4899,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.4899
qwen25-7b-1m,qa,niah_none,snapkv,0.5,ja,6.0,2.0,2.0,2.0,2.0,0.3333,0.3333,0.0968,0.7,0.3333,0.0968,0.7,0.0,0.0,2.0,3.0,2.0,0.3333,0.0968,0.7
qwen25-7b-1m,qa,niah_none,snapkv,0.5,ko,43.0,43.0,0.0,0.0,43.0,1.0,0.0,0.0,0.082,0.0,0.0,0.082,0.0,0.0,43.0,17.0,4.0,0.093,0.0368,0.216
qwen25-7b-1m,qa,niah_none,snapkv,0.5,sw,12.0,12.0,0.0,0.0,12.0,1.0,0.0,0.0,0.2425,0.0,0.0,0.2425,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.2425
qwen25-7b-1m,qa,niah_none,snapkv,0.5,vi,4.0,1.0,1.0,2.0,1.0,0.25,0.25,0.0456,0.6994,0.5,0.15,0.85,0.0,0.0,1.0,1.0,2.0,0.5,0.15,0.85
qwen25-7b-1m,qa,niah_none,snapkv,0.5,zh,2.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0945,0.9055,0.5,0.0945,0.9055,0.0,0.0,0.0,1.0,2.0,1.0,0.3424,1.0
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,en,6.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.3903,0.0,0.0,0.3903,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.3903
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,ja,11.0,11.0,0.0,0.0,11.0,1.0,0.0,0.0,0.2588,0.0,0.0,0.2588,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.2588
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,ko,44.0,44.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0803,0.0,0.0,0.0803,0.0,0.0,44.0,3.0,3.0,0.0682,0.0235,0.1823
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,sw,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7935,0.0,0.0,0.7935,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7935
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,vi,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.5615,0.0,0.0,0.5615,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5615
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,zh,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6576,0.0,0.0,0.6576,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6576
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,en,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.5615,0.0,0.0,0.5615,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5615
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,ja,15.0,15.0,0.0,0.0,15.0,1.0,0.0,0.0,0.2039,0.0,0.0,0.2039,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.2039
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,ko,58.0,58.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0621,0.0,0.0,0.0621,0.0,0.0,58.0,4.0,2.0,0.0345,0.0095,0.1173
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,sw,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.4345,0.0,0.0,0.4345,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.4345
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,vi,4.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.4899,0.0,0.0,0.4899,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.4899
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,zh,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.5615,0.0,0.0,0.5615,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5615
qwen25-7b-1m,qa,niah_single,knorm,0.25,en,14.0,2.0,7.0,5.0,0.0,0.1429,0.5,0.268,0.732,0.3571,0.1634,0.6124,1.0,1.0,2.0,7.0,5.0,0.3571,0.1634,0.6124
qwen25-7b-1m,qa,niah_single,knorm,0.25,ja,15.0,3.0,8.0,4.0,0.0,0.2,0.5333,0.3012,0.7519,0.2667,0.109,0.5195,2.0,2.0,3.0,8.0,4.0,0.2667,0.109,0.5195
qwen25-7b-1m,qa,niah_single,knorm,0.25,ko,35.0,5.0,27.0,3.0,0.0,0.1429,0.7714,0.6098,0.8793,0.0857,0.0296,0.2238,15.0,15.0,5.0,28.0,4.0,0.1143,0.0454,0.2595
