model,arm,task,press,kept,lang,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high
llama31-8b,joint,niah_single,snapkv,0.25,ko,81.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0453,0.0,0.0,0.0453,1.0,1.0,81.0,1.0,0.0,0.0,0.0,0.0453
llama31-8b,joint,niah_single,snapkv,0.25,pl,83.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0442,0.0,0.0,0.0442,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0442
llama31-8b,joint,niah_single,snapkv,0.25,sw,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,snapkv,0.25,vi,93.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0397,0.0,0.0,0.0397,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0397
llama31-8b,joint,niah_single,snapkv,0.25,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,snapkv,0.5,en,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
llama31-8b,joint,niah_single,snapkv,0.5,ja,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,snapkv,0.5,ko,83.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0442,0.0,0.0,0.0442,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0442
llama31-8b,joint,niah_single,snapkv,0.5,pl,83.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0442,0.0,0.0,0.0442,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0442
llama31-8b,joint,niah_single,snapkv,0.5,sw,97.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0381,0.0,0.0,0.0381,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0381
llama31-8b,joint,niah_single,snapkv,0.5,vi,93.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0397,0.0,0.0,0.0397,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0397
llama31-8b,joint,niah_single,snapkv,0.5,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,joint,niah_single,streaming_llm,0.25,en,29.0,28.0,0.0,1.0,0.0,0.9655,0.0,0.0,0.117,0.0345,0.0061,0.1718,0.0,0.0,28.0,0.0,1.0,0.0345,0.0061,0.1718
llama31-8b,joint,niah_single,streaming_llm,0.25,ja,28.0,26.0,0.0,2.0,0.0,0.9286,0.0,0.0,0.1206,0.0714,0.0198,0.2265,0.0,0.0,26.0,0.0,2.0,0.0714,0.0198,0.2265
llama31-8b,joint,niah_single,streaming_llm,0.25,ko,20.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1611,0.0,0.0,0.1611,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.1611
llama31-8b,joint,niah_single,streaming_llm,0.25,pl,16.0,13.0,0.0,3.0,0.0,0.8125,0.0,0.0,0.1936,0.1875,0.0659,0.4301,0.0,0.0,13.0,0.0,3.0,0.1875,0.0659,0.4301
llama31-8b,joint,niah_single,streaming_llm,0.25,sw,28.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1206,0.0,0.0,0.1206,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.1206
llama31-8b,joint,niah_single,streaming_llm,0.25,vi,30.0,24.0,0.0,6.0,0.0,0.8,0.0,0.0,0.1135,0.2,0.095,0.3731,0.0,0.0,24.0,0.0,6.0,0.2,0.095,0.3731
llama31-8b,joint,niah_single,streaming_llm,0.25,zh,28.0,27.0,0.0,1.0,0.0,0.9643,0.0,0.0,0.1206,0.0357,0.0063,0.1771,0.0,0.0,27.0,0.0,1.0,0.0357,0.0063,0.1771
llama31-8b,joint,niah_single,streaming_llm,0.5,en,46.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0771,0.0,0.0,0.0771,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0771
llama31-8b,joint,niah_single,streaming_llm,0.5,ja,46.0,44.0,0.0,2.0,0.0,0.9565,0.0,0.0,0.0771,0.0435,0.012,0.1453,0.0,0.0,44.0,0.0,2.0,0.0435,0.012,0.1453
llama31-8b,joint,niah_single,streaming_llm,0.5,ko,39.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0897,0.0,0.0,0.0897,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0897
llama31-8b,joint,niah_single,streaming_llm,0.5,pl,34.0,33.0,0.0,1.0,0.0,0.9706,0.0,0.0,0.1015,0.0294,0.0052,0.1492,0.0,0.0,33.0,0.0,1.0,0.0294,0.0052,0.1492
llama31-8b,joint,niah_single,streaming_llm,0.5,sw,43.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.082,0.0,0.0,0.082,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.082
llama31-8b,joint,niah_single,streaming_llm,0.5,vi,54.0,44.0,0.0,10.0,0.0,0.8148,0.0,0.0,0.0664,0.1852,0.1038,0.3084,0.0,0.0,44.0,0.0,10.0,0.1852,0.1038,0.3084
llama31-8b,joint,niah_single,streaming_llm,0.5,zh,43.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.082,0.0,0.0,0.082,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.082
llama31-8b,qa,niah_none,knorm,0.25,en,28.0,10.0,18.0,0.0,10.0,0.3571,0.6429,0.4583,0.7929,0.0,0.0,0.1206,0.0,0.0,10.0,22.0,7.0,0.25,0.1268,0.4336
llama31-8b,qa,niah_none,knorm,0.25,ja,52.0,19.0,31.0,2.0,19.0,0.3654,0.5962,0.4607,0.7184,0.0385,0.0106,0.1298,0.0,0.0,19.0,35.0,9.0,0.1731,0.0938,0.2973
