model,arm,task,lang,press,kept,n,acc_official,acc_recomputed,acc_robust,delta_robust,robust_scorer,delta_strict_none,delta_lenient_single
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,100,0.06,0.06,0.06,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,100,0.45,0.45,0.45,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,100,0.25,0.25,0.25,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,snapkv,0.5,100,0.76,0.76,0.76,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,snapkv,0.25,100,0.21,0.21,0.21,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,none,1.0,100,0.98,0.98,0.98,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,knorm,0.5,100,0.49,0.49,0.49,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ja,knorm,0.25,100,0.17,0.17,0.17,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,streaming_llm,0.5,100,0.46,0.46,0.46,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,streaming_llm,0.25,100,0.27,0.27,0.27,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,snapkv,0.5,100,0.9,0.9,0.9,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,snapkv,0.25,100,0.45,0.45,0.45,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,none,1.0,100,1.0,1.0,1.0,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,knorm,0.5,100,0.72,0.72,0.72,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,en,knorm,0.25,100,0.17,0.17,0.17,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,sw,knorm,0.5,100,0.68,0.68,0.68,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,sw,knorm,0.25,100,0.06,0.06,0.06,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,100,0.49,0.49,0.49,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,100,0.28,0.28,0.28,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,pl,snapkv,0.5,100,0.3,0.3,0.3,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,pl,snapkv,0.25,100,0.0,0.0,0.0,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,pl,none,1.0,100,0.84,0.84,0.84,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,pl,knorm,0.5,100,0.3,0.3,0.3,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,pl,knorm,0.25,100,0.04,0.04,0.04,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,100,0.21,0.21,0.21,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ko,knorm,0.5,100,0.87,0.87,0.87,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,ko,knorm,0.25,100,0.82,0.82,0.82,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,zh,snapkv,0.25,100,0.24,0.24,0.24,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,zh,none,1.0,100,0.98,0.98,0.98,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,zh,knorm,0.5,100,0.36,0.36,0.36,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,zh,knorm,0.25,100,0.05,0.05,0.05,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,100,0.4,0.4,0.4,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,100,0.19,0.19,0.19,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,vi,snapkv,0.5,100,0.14,0.14,0.14,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,vi,snapkv,0.25,100,0.03,0.03,0.03,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,vi,none,1.0,100,0.9,0.9,0.9,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,vi,knorm,0.5,100,0.79,0.79,0.79,0.0,lenient_single,,0.0
llama31-8b,qa,niah_single,vi,knorm,0.25,100,0.14,0.14,0.14,0.0,lenient_single,,0.0
