model,lang,press,kept,acc_joint,acc_qa,d_joint_minus_qa,ci_low,ci_high,sig,p,n,q,sig_bh
qwen25-7b-1m,en,knorm,0.25,0.01,0.02,-0.01,-0.04,0.02,False,0.816,100,1.0,False
qwen25-7b-1m,ja,none,1.0,0.9,0.96,-0.06,-0.11,-0.02,True,0.008,100,1.0,False
qwen25-7b-1m,ja,snapkv,0.5,0.95,0.16,0.79,0.71,0.87,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,ja,snapkv,0.25,0.92,0.06,0.86,0.79,0.92,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,ja,streaming_llm,0.5,0.45,0.46,-0.01,-0.03,0.0,False,0.732,100,1.0,False
qwen25-7b-1m,ja,streaming_llm,0.25,0.28,0.28,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,ja,knorm,0.5,0.08,0.07,0.01,-0.04,0.06,False,0.847,100,1.0,False
qwen25-7b-1m,ja,knorm,0.25,0.01,0.03,-0.02,-0.05,0.0,False,0.288,100,0.5498181818181818,False
qwen25-7b-1m,ko,none,1.0,1.0,1.0,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,ko,snapkv,0.5,0.99,0.94,0.05,0.0,0.1,False,0.068,100,0.15866666666666668,False
qwen25-7b-1m,ko,snapkv,0.25,1.0,0.73,0.27,0.18,0.35,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,ko,streaming_llm,0.5,0.49,0.48,0.01,0.0,0.03,False,0.758,100,1.0,False
qwen25-7b-1m,ko,streaming_llm,0.25,0.28,0.27,0.01,0.0,0.03,False,0.758,100,1.0,False
qwen25-7b-1m,ko,knorm,0.5,0.63,0.64,-0.01,-0.05,0.03,False,0.768,100,1.0,False
qwen25-7b-1m,ko,knorm,0.25,0.05,0.04,0.01,-0.03,0.06,False,0.796,100,1.0,False
qwen25-7b-1m,pl,none,1.0,1.0,0.99,0.01,0.0,0.03,False,0.723,100,1.0,False
qwen25-7b-1m,pl,snapkv,0.5,1.0,0.44,0.56,0.47,0.6502,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,pl,snapkv,0.25,1.0,0.04,0.96,0.92,0.99,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,pl,streaming_llm,0.5,0.49,0.49,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,pl,streaming_llm,0.25,0.28,0.28,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,pl,knorm,0.5,0.07,0.19,-0.12,-0.19,-0.06,True,0.0009995002498750624,100,0.002625,True
