model,arm,task,lang,press,kept,drop,d_false_absence,d_wrong_number,d_other,share_false_absence,share_wrong_number,share_other,d_false_presence_distractor,d_false_presence_hallucinated,share_false_presence_distractor,share_false_presence_hallucinated
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,-0.19999999999999996,,,-0.01,,,,-0.19,0.0,,
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.25,-0.0,,,0.0,,,,0.0,0.0,,
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.25,-0.42000000000000004,,,0.0,,,,-0.36,-0.06,,
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,-0.07999999999999996,,,0.0,,,,-0.08,0.0,,
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,-0.040000000000000036,,,0.0,,,,-0.039999999999999994,0.0,,
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.5,-0.010000000000000009,,,0.0,,,,-0.010000000000000002,0.0,,
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,0.18000000000000005,,,0.29,,,1.6111111111111105,-0.12,0.01,-0.6666666666666664,0.05555555555555554
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,-0.03999999999999998,,,0.0,,,,-0.040000000000000036,0.0,,
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.5,-0.0,,,0.0,,,,0.0,0.0,,
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,-0.3500000000000001,,,0.03,,,,-0.32,-0.06,,
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,-0.05999999999999994,,,0.0,,,,-0.060000000000000005,0.0,,
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,-0.030000000000000027,,,0.0,,,,-0.03,0.0,,
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,0.96,0.37,0.59,0.0,0.3854166666666667,0.6145833333333334,0.0,,,,
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,0.9299999999999999,0.58,0.35,0.0,0.6236559139784946,0.3763440860215054,0.0,,,,
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,0.96,0.09,0.87,0.0,0.09375,0.90625,0.0,,,,
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,0.98,0.61,0.37,0.0,0.6224489795918368,0.37755102040816324,0.0,,,,
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,0.48,0.38,0.01,0.09,0.7916666666666667,0.020833333333333336,0.1875,,,,
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,0.94,0.33,0.61,0.0,0.3510638297872341,0.648936170212766,0.0,,,,
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,0.98,0.72,0.26,0.0,0.7346938775510204,0.2653061224489796,0.0,,,,
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,0.94,0.25,0.69,0.0,0.26595744680851063,0.7340425531914894,0.0,,,,
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,0.8899999999999999,0.049999999999999996,0.84,0.0,0.056179775280898875,0.9438202247191012,0.0,,,,
qwen25-7b-1m,qa,niah_single,ko,knorm,0.5,0.36,0.0,0.36,0.0,0.0,1.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,0.8,0.04,0.76,0.0,0.049999999999999996,0.95,0.0,,,,
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,0.48,0.41000000000000003,0.04,0.03,0.8541666666666667,0.08333333333333334,0.0625,,,,
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,0.85,0.0,0.85,0.0,0.0,1.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,0.9199999999999999,0.29,0.63,0.0,0.31521739130434784,0.6847826086956522,0.0,,,,
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,0.9099999999999999,0.15000000000000002,0.74,0.02,0.16483516483516486,0.8131868131868133,0.02197802197802198,,,,
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,0.8999999999999999,0.33,0.55,0.02,0.3666666666666667,0.6111111111111113,0.022222222222222227,,,,
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,0.27,0.07,0.2,0.0,0.25925925925925924,0.7407407407407407,0.0,,,,
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,0.95,0.6799999999999999,0.27,0.0,0.7157894736842105,0.2842105263157895,0.0,,,,
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,0.39999999999999997,0.37,0.01,0.02,0.925,0.025,0.05,,,,
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,0.96,0.76,0.2,0.0,0.7916666666666667,0.20833333333333334,0.0,,,,
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,0.87,0.47,0.4,0.0,0.5402298850574713,0.4597701149425288,0.0,,,,
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,0.61,0.009999999999999998,0.6,0.0,0.016393442622950817,0.9836065573770492,0.0,,,,
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,0.7999999999999999,0.12,0.67,0.01,0.15,0.8375000000000001,0.0125,,,,
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,0.06000000000000005,0.01,0.05,0.0,0.16666666666666652,0.8333333333333326,0.0,,,,
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,0.55,0.18,0.37,0.0,0.3272727272727272,0.6727272727272726,0.0,,,,
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,0.24999999999999997,0.25,0.0,0.0,1.0000000000000002,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,0.8999999999999999,0.24000000000000002,0.66,0.0,0.2666666666666667,0.7333333333333334,0.0,,,,
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,0.62,0.11,0.51,0.0,0.1774193548387097,0.8225806451612904,0.0,,,,
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,0.71,0.69,0.02,0.0,0.9718309859154929,0.028169014084507043,0.0,,,,
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,0.6799999999999999,0.63,0.0,0.05,0.9264705882352942,0.0,0.0735294117647059,,,,
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,0.73,0.73,0.0,0.0,1.0,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.25,0.71,0.71,0.0,0.0,1.0,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.25,0.41,0.41000000000000003,0.0,0.0,1.0000000000000002,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,0.6699999999999999,0.6699999999999999,0.0,0.0,1.0,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,0.71,0.71,0.0,0.0,1.0,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,0.53,0.53,0.0,0.0,1.0,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,0.49999999999999994,0.29000000000000004,0.0,0.21,0.5800000000000002,0.0,0.42000000000000004,,,,
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,0.52,0.51,0.0,0.01,0.9807692307692307,0.0,0.019230769230769232,,,,
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,0.37,0.37,0.0,0.0,1.0,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,0.45999999999999996,0.46,0.0,0.0,1.0000000000000002,0.0,0.0,,,,
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,0.55,0.5499999999999999,0.0,0.0,0.9999999999999998,0.0,0.0,,,,
