model,arm,task,lang,press,kept,drop,d_false_absence,d_wrong_number,d_other,share_false_absence,share_wrong_number,share_other,d_false_presence_distractor,d_false_presence_hallucinated,share_false_presence_distractor,share_false_presence_hallucinated
llama31-8b,qa,niah_none,ja,knorm,0.25,0.09000000000000002,,,0.01,,,0.11111111111111108,-0.31,0.39,-3.4444444444444433,4.333333333333332
llama31-8b,qa,niah_none,ko,knorm,0.25,0.48999999999999994,,,0.0,,,0.0,0.47,0.02,0.9591836734693878,0.04081632653061225
llama31-8b,qa,niah_none,pl,knorm,0.25,0.020000000000000018,,,0.0,,,0.0,-0.060000000000000005,0.08,-2.999999999999998,3.9999999999999964
llama31-8b,qa,niah_none,sw,knorm,0.25,0.21,,,0.060000000000000005,,,0.28571428571428575,-0.56,0.71,-2.666666666666667,3.380952380952381
llama31-8b,qa,niah_none,vi,knorm,0.25,0.45999999999999996,,,0.0,,,0.0,-0.16,0.62,-0.3478260869565218,1.3478260869565217
llama31-8b,qa,niah_none,zh,knorm,0.25,-0.14,,,-0.01,,,,-0.64,0.51,,
llama31-8b,qa,niah_none,en,knorm,0.5,-0.08999999999999997,,,0.0,,,,-0.19,0.1,,
llama31-8b,qa,niah_none,ja,knorm,0.5,0.18,,,0.0,,,0.0,0.010000000000000009,0.17,0.05555555555555561,0.9444444444444445
llama31-8b,qa,niah_none,ko,knorm,0.5,0.12,,,0.01,,,0.08333333333333334,0.11000000000000001,0.0,0.9166666666666669,0.0
llama31-8b,qa,niah_none,pl,knorm,0.5,-0.009999999999999898,,,0.0,,,,-0.04000000000000001,0.03,,
llama31-8b,qa,niah_none,sw,knorm,0.5,0.15999999999999998,,,0.57,,,3.5625000000000004,-0.5800000000000001,0.16999999999999998,-3.625000000000001,1.0625
llama31-8b,qa,niah_none,vi,knorm,0.5,0.16999999999999998,,,0.0,,,0.0,0.06,0.11,0.35294117647058826,0.6470588235294118
llama31-8b,qa,niah_none,zh,knorm,0.5,0.06,,,0.009999999999999998,,,0.16666666666666666,-0.22999999999999998,0.28,-3.833333333333333,4.666666666666667
llama31-8b,qa,niah_none,en,snapkv,0.25,-0.20999999999999996,,,0.0,,,,-0.32,0.11,,
llama31-8b,qa,niah_none,ja,snapkv,0.25,0.010000000000000009,,,0.01,,,0.9999999999999991,-0.42,0.42,-41.999999999999964,41.999999999999964
llama31-8b,qa,niah_none,ko,snapkv,0.25,0.51,,,0.04,,,0.0784313725490196,0.43999999999999995,0.03,0.8627450980392156,0.058823529411764705
llama31-8b,qa,niah_none,pl,snapkv,0.25,-0.019999999999999907,,,0.0,,,,-0.05,0.03,,
llama31-8b,qa,niah_none,sw,snapkv,0.25,0.13999999999999999,,,-0.01,,,-0.07142857142857144,0.15000000000000002,0.0,1.0714285714285716,0.0
llama31-8b,qa,niah_none,vi,snapkv,0.25,-0.13,,,0.0,,,,-0.33999999999999997,0.21,,
llama31-8b,qa,niah_none,zh,snapkv,0.25,-0.19,,,0.11,,,,-0.6,0.3,,
llama31-8b,qa,niah_none,en,snapkv,0.5,-0.18000000000000005,,,0.0,,,,-0.22999999999999998,0.05,,
llama31-8b,qa,niah_none,ja,snapkv,0.5,0.04999999999999999,,,0.01,,,0.20000000000000004,-0.10999999999999999,0.15,-2.2,3.0000000000000004
llama31-8b,qa,niah_none,ko,snapkv,0.5,0.17999999999999994,,,0.0,,,0.0,0.18000000000000002,0.0,1.0000000000000004,0.0
llama31-8b,qa,niah_none,pl,snapkv,0.5,-0.039999999999999925,,,0.0,,,,-0.05,0.01,,
llama31-8b,qa,niah_none,sw,snapkv,0.5,0.07999999999999999,,,-0.01,,,-0.12500000000000003,0.08999999999999997,0.0,1.1249999999999998,0.0
llama31-8b,qa,niah_none,vi,snapkv,0.5,0.040000000000000036,,,0.02,,,0.49999999999999956,-0.32,0.34,-7.999999999999993,8.499999999999993
llama31-8b,qa,niah_none,zh,snapkv,0.5,0.06999999999999998,,,0.02,,,0.2857142857142858,-0.24,0.29,-3.4285714285714293,4.142857142857144
llama31-8b,qa,niah_none,en,streaming_llm,0.25,-0.12,,,0.0,,,,-0.19,0.07,,
llama31-8b,qa,niah_none,ja,streaming_llm,0.25,-0.36,,,0.0,,,,-0.37,0.01,,
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,0.44999999999999996,,,0.01,,,0.022222222222222227,0.36,0.08,0.8,0.1777777777777778
