model,arm,task,lang,press,kept,acc,acc_robust,n,delta_robust
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,0.38,0.31,100,0.07
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,0.26,0.14,100,0.12
llama31-8b,qa,niah_none,pl,knorm,0.25,0.91,0.9,100,0.01
llama31-8b,qa,niah_none,pl,knorm,0.5,0.94,0.94,100,0.0
llama31-8b,qa,niah_none,pl,none,1.0,0.93,0.91,100,0.02
llama31-8b,qa,niah_none,pl,snapkv,0.25,0.95,0.95,100,0.0
llama31-8b,qa,niah_none,pl,snapkv,0.5,0.97,0.97,100,0.0
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,0.39,0.39,100,0.0
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,0.69,0.68,100,0.01
llama31-8b,qa,niah_none,sw,knorm,0.25,0.0,0.0,100,0.0
llama31-8b,qa,niah_none,sw,knorm,0.5,0.05,0.04,100,0.01
llama31-8b,qa,niah_none,sw,none,1.0,0.21,0.06,100,0.15
llama31-8b,qa,niah_none,sw,snapkv,0.25,0.07,0.05,100,0.02
llama31-8b,qa,niah_none,sw,snapkv,0.5,0.13,0.05,100,0.08
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,0.06,0.03,100,0.03
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,0.02,0.0,100,0.02
llama31-8b,qa,niah_none,vi,knorm,0.25,0.17,0.17,100,0.0
llama31-8b,qa,niah_none,vi,knorm,0.5,0.46,0.46,100,0.0
llama31-8b,qa,niah_none,vi,none,1.0,0.63,0.62,100,0.01
llama31-8b,qa,niah_none,vi,snapkv,0.25,0.76,0.76,100,0.0
llama31-8b,qa,niah_none,vi,snapkv,0.5,0.59,0.58,100,0.01
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,0.68,0.68,100,0.0
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,0.74,0.74,100,0.0
llama31-8b,qa,niah_none,zh,knorm,0.25,0.38,0.38,100,0.0
llama31-8b,qa,niah_none,zh,knorm,0.5,0.18,0.17,100,0.01
llama31-8b,qa,niah_none,zh,none,1.0,0.24,0.22,100,0.02
llama31-8b,qa,niah_none,zh,snapkv,0.25,0.43,0.42,100,0.01
llama31-8b,qa,niah_none,zh,snapkv,0.5,0.17,0.14,100,0.03
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,0.64,0.64,100,0.0
