model,arm,task,lang,press,kept,correct,false_absence,wrong_number,other,false_presence_distractor,false_presence_hallucinated
llama31-8b,qa,niah_none,ja,streaming_llm,0.25,0.87,,,0.0,0.12,0.01
llama31-8b,qa,niah_none,ja,streaming_llm,0.5,0.69,,,0.0,0.31,0.0
llama31-8b,qa,niah_none,ko,knorm,0.25,0.34,,,0.01,0.63,0.02
llama31-8b,qa,niah_none,ko,knorm,0.5,0.71,,,0.02,0.27,0.0
llama31-8b,qa,niah_none,ko,none,1.0,0.83,,,0.01,0.16,0.0
llama31-8b,qa,niah_none,ko,snapkv,0.25,0.32,,,0.05,0.6,0.03
llama31-8b,qa,niah_none,ko,snapkv,0.5,0.65,,,0.01,0.34,0.0
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,0.38,,,0.02,0.52,0.08
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,0.26,,,0.01,0.72,0.01
llama31-8b,qa,niah_none,pl,knorm,0.25,0.91,,,0.0,0.01,0.08
llama31-8b,qa,niah_none,pl,knorm,0.5,0.94,,,0.0,0.03,0.03
llama31-8b,qa,niah_none,pl,none,1.0,0.93,,,0.0,0.07,0.0
llama31-8b,qa,niah_none,pl,snapkv,0.25,0.95,,,0.0,0.02,0.03
llama31-8b,qa,niah_none,pl,snapkv,0.5,0.97,,,0.0,0.02,0.01
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,0.39,,,0.22,0.23,0.16
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,0.69,,,0.0,0.22,0.09
llama31-8b,qa,niah_none,sw,knorm,0.25,0.0,,,0.07,0.21,0.72
llama31-8b,qa,niah_none,sw,knorm,0.5,0.05,,,0.58,0.19,0.18
llama31-8b,qa,niah_none,sw,none,1.0,0.21,,,0.01,0.77,0.01
llama31-8b,qa,niah_none,sw,snapkv,0.25,0.07,,,0.0,0.92,0.01
llama31-8b,qa,niah_none,sw,snapkv,0.5,0.13,,,0.0,0.86,0.01
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,0.06,,,0.01,0.56,0.37
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,0.02,,,0.02,0.91,0.05
llama31-8b,qa,niah_none,vi,knorm,0.25,0.17,,,0.0,0.21,0.62
llama31-8b,qa,niah_none,vi,knorm,0.5,0.46,,,0.0,0.43,0.11
llama31-8b,qa,niah_none,vi,none,1.0,0.63,,,0.0,0.37,0.0
llama31-8b,qa,niah_none,vi,snapkv,0.25,0.76,,,0.0,0.03,0.21
llama31-8b,qa,niah_none,vi,snapkv,0.5,0.59,,,0.02,0.05,0.34
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,0.68,,,0.0,0.23,0.09
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,0.74,,,0.0,0.24,0.02
llama31-8b,qa,niah_none,zh,knorm,0.25,0.38,,,0.01,0.1,0.51
llama31-8b,qa,niah_none,zh,knorm,0.5,0.18,,,0.03,0.51,0.28
llama31-8b,qa,niah_none,zh,none,1.0,0.24,,,0.02,0.74,0.0
llama31-8b,qa,niah_none,zh,snapkv,0.25,0.43,,,0.13,0.14,0.3
llama31-8b,qa,niah_none,zh,snapkv,0.5,0.17,,,0.04,0.5,0.29
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,0.64,,,0.01,0.33,0.02
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,0.29,,,0.0,0.7,0.01
llama31-8b,qa,niah_single,en,knorm,0.25,0.17,0.06,0.77,0.0,,
llama31-8b,qa,niah_single,en,knorm,0.5,0.72,0.0,0.28,0.0,,
llama31-8b,qa,niah_single,en,none,1.0,1.0,0.0,0.0,0.0,,
llama31-8b,qa,niah_single,en,snapkv,0.25,0.45,0.36,0.18,0.01,,
llama31-8b,qa,niah_single,en,snapkv,0.5,0.9,0.05,0.05,0.0,,
llama31-8b,qa,niah_single,en,streaming_llm,0.25,0.27,0.56,0.16,0.01,,
llama31-8b,qa,niah_single,en,streaming_llm,0.5,0.46,0.36,0.18,0.0,,
llama31-8b,qa,niah_single,ja,knorm,0.25,0.17,0.17,0.66,0.0,,
llama31-8b,qa,niah_single,ja,knorm,0.5,0.49,0.08,0.43,0.0,,
llama31-8b,qa,niah_single,ja,none,1.0,0.98,0.02,0.0,0.0,,
llama31-8b,qa,niah_single,ja,snapkv,0.25,0.21,0.24,0.55,0.0,,
llama31-8b,qa,niah_single,ja,snapkv,0.5,0.76,0.07,0.17,0.0,,
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,0.25,0.73,0.02,0.0,,
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,0.45,0.5,0.05,0.0,,
llama31-8b,qa,niah_single,ko,knorm,0.25,0.82,0.15,0.03,0.0,,
llama31-8b,qa,niah_single,ko,knorm,0.5,0.87,0.12,0.01,0.0,,
llama31-8b,qa,niah_single,ko,none,1.0,0.77,0.21,0.02,0.0,,
llama31-8b,qa,niah_single,ko,snapkv,0.25,0.62,0.31,0.07,0.0,,
llama31-8b,qa,niah_single,ko,snapkv,0.5,0.78,0.16,0.06,0.0,,
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,0.21,0.57,0.21,0.01,,
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,0.38,0.48,0.14,0.0,,
llama31-8b,qa,niah_single,pl,knorm,0.25,0.04,0.44,0.52,0.0,,
llama31-8b,qa,niah_single,pl,knorm,0.5,0.3,0.25,0.45,0.0,,
llama31-8b,qa,niah_single,pl,none,1.0,0.84,0.16,0.0,0.0,,
llama31-8b,qa,niah_single,pl,snapkv,0.25,0.0,0.8,0.2,0.0,,
llama31-8b,qa,niah_single,pl,snapkv,0.5,0.3,0.53,0.17,0.0,,
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,0.28,0.0,0.2,0.52,,
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,0.49,0.0,0.49,0.02,,
llama31-8b,qa,niah_single,sw,knorm,0.25,0.06,0.01,0.84,0.09,,
llama31-8b,qa,niah_single,sw,knorm,0.5,0.68,0.0,0.27,0.05,,
llama31-8b,qa,niah_single,sw,none,1.0,0.92,0.01,0.06,0.01,,
llama31-8b,qa,niah_single,sw,snapkv,0.25,0.9,0.06,0.04,0.0,,
llama31-8b,qa,niah_single,sw,snapkv,0.5,0.91,0.02,0.07,0.0,,
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,0.27,0.1,0.57,0.06,,
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,0.43,0.03,0.43,0.11,,
llama31-8b,qa,niah_single,vi,knorm,0.25,0.14,0.0,0.86,0.0,,
llama31-8b,qa,niah_single,vi,knorm,0.5,0.79,0.02,0.19,0.0,,
llama31-8b,qa,niah_single,vi,none,1.0,0.9,0.1,0.0,0.0,,
llama31-8b,qa,niah_single,vi,snapkv,0.25,0.03,0.8,0.17,0.0,,
llama31-8b,qa,niah_single,vi,snapkv,0.5,0.14,0.59,0.24,0.03,,
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,0.19,0.61,0.2,0.0,,
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,0.4,0.5,0.1,0.0,,
llama31-8b,qa,niah_single,zh,knorm,0.25,0.05,0.28,0.67,0.0,,
llama31-8b,qa,niah_single,zh,knorm,0.5,0.36,0.04,0.6,0.0,,
llama31-8b,qa,niah_single,zh,none,1.0,0.98,0.02,0.0,0.0,,
llama31-8b,qa,niah_single,zh,snapkv,0.25,0.24,0.55,0.12,0.09,,
llama31-8b,qa,niah_single,zh,snapkv,0.5,0.63,0.13,0.21,0.03,,
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,0.27,0.65,0.03,0.05,,
llama31-8b,qa,niah_single,zh,streaming_llm,0.5,0.43,0.47,0.1,0.0,,
qwen25-7b-1m,joint,niah_single,en,knorm,0.25,0.01,0.03,0.96,0.0,,
qwen25-7b-1m,joint,niah_single,en,knorm,0.5,0.09,0.02,0.89,0.0,,
qwen25-7b-1m,joint,niah_single,en,none,1.0,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,en,snapkv,0.25,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,en,snapkv,0.5,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,0.27,0.1,0.6,0.03,,
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,0.45,0.06,0.42,0.07,,
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,0.01,0.25,0.64,0.1,,
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,0.08,0.02,0.9,0.0,,
qwen25-7b-1m,joint,niah_single,ja,none,1.0,0.9,0.1,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,0.92,0.07,0.01,0.0,,
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,0.95,0.05,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,0.28,0.09,0.6,0.03,,
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,0.45,0.15,0.37,0.03,,
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,0.05,0.03,0.92,0.0,,
qwen25-7b-1m,joint,niah_single,ko,knorm,0.5,0.63,0.0,0.37,0.0,,
qwen25-7b-1m,joint,niah_single,ko,none,1.0,1.0,0.0,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.25,1.0,0.0,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,0.99,0.01,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,0.28,0.12,0.56,0.04,,
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,0.49,0.13,0.36,0.02,,
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,0.01,0.2,0.73,0.06,,
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,0.07,0.05,0.88,0.0,,
qwen25-7b-1m,joint,niah_single,pl,none,1.0,1.0,0.0,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.25,1.0,0.0,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.5,1.0,0.0,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,0.28,0.04,0.65,0.03,,
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,0.49,0.04,0.41,0.06,,
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,0.01,0.06,0.54,0.39,,
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,0.08,0.05,0.76,0.11,,
qwen25-7b-1m,joint,niah_single,sw,none,1.0,0.56,0.44,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,0.48,0.47,0.05,0.0,,
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,0.59,0.4,0.01,0.0,,
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,0.14,0.85,0.01,0.0,,
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,0.25,0.73,0.02,0.0,,
