model,lang,task,kept,sample_id,keep_overall,keep_value,keep_window,keep_question,keep_haystack,keep_overall_high,keep_value_high,keep_window_high,keep_question_high,keep_haystack_high,arm,frac_value_evicted,n_tokens,n_value_tokens,n_question_tokens,depth
qwen25-7b-1m,ko,niah_single,0.5,0,0.49998632073402405,0.8966836756361383,0.8110118995287589,1.0,0.4992191448275532,0.49998632073402405,0.07908163405954838,0.1640873050200753,1.0,0.5008148694677013,qa,0.044642857142857144,36676,7,99,0.0407
qwen25-7b-1m,ko,niah_single,0.5,1,0.5,0.8788265327789954,0.7596966182546956,1.0,0.49933800074671,0.5,0.09311224666557141,0.21111751098318823,1.0,0.5007363986223936,qa,0.05357142857142857,36674,7,98,0.2153
qwen25-7b-1m,ko,niah_single,0.5,2,0.49998632073402405,0.887755104473659,0.5571808453117099,1.0,0.49983896634408403,0.49998632073402405,0.14030612486281566,0.47435410427195684,1.0,0.5000523706632001,qa,0.017857142857142856,36676,7,99,0.9453
qwen25-7b-1m,ko,niah_single,0.5,3,0.49998632073402405,0.9030612264094608,0.6848684214055538,1.0,0.4995048918894359,0.49998632073402405,0.07015306329620737,0.28759398507619544,1.0,0.5005394052714109,qa,0.03571428571428571,36676,7,99,0.1445
qwen25-7b-1m,ko,niah_single,0.5,4,0.5,0.8826530639614377,0.589383848543678,1.0,0.4997770610664572,0.5,0.14668367550309216,0.43887363706848453,1.0,0.5001524596342019,qa,0.026785714285714284,36674,7,98,0.9627
qwen25-7b-1m,ko,niah_single,0.5,5,0.5,0.8928571455180645,0.4618347393614905,1.0,0.5001067364854472,0.5,0.13265306316316128,0.5673144342643874,1.0,0.4998117541628225,qa,0.017857142857142856,36674,7,98,0.876
qwen25-7b-1m,ko,niah_single,0.5,6,0.49998632073402405,0.8941326548478433,0.56343005916902,1.0,0.499819387282644,0.49998632073402405,0.1275510218526636,0.4615885405136006,1.0,0.5000873684350934,qa,0.03571428571428571,36680,7,101,0.9453
qwen25-7b-1m,ko,niah_single,0.5,7,0.49998632073402405,0.8954081663063594,0.5844992473721504,1.0,0.4997616117554052,0.49998632073402405,0.13392857289207832,0.44652060684581685,1.0,0.5001284980348178,qa,0.026785714285714284,36676,7,99,0.6883
qwen25-7b-1m,ko,niah_single,0.5,8,0.49998632073402405,0.8762755123898387,0.5895866762314524,1.0,0.4997677816344159,0.49998632073402405,0.09566326732082027,0.37740770497059983,1.0,0.500285316524761,qa,0.05357142857142857,36676,7,99,0.3404
qwen25-7b-1m,ko,niah_single,0.5,9,0.49998632073402405,0.8877551051388893,0.5334821441876036,1.0,0.49989818994488033,0.49998632073402405,0.14030612459672348,0.4960937507982765,1.0,0.49999657592603136,qa,0.026785714285714284,36680,7,101,0.6302
qwen25-7b-1m,ko,niah_single,0.5,10,0.49998632073402405,0.8852040838184101,0.5995879308985812,1.0,0.499737912522895,0.49998632073402405,0.15433673720274652,0.4370094294260655,1.0,0.5001433983977351,qa,0.026785714285714284,36676,7,99,0.9627
qwen25-7b-1m,ko,niah_single,0.5,11,0.49998632073402405,0.8852040843505945,0.46533614290612085,1.0,0.5000832291053874,0.49998632073402405,0.14923469575920276,0.5627626124769449,1.0,0.499810782660331,qa,0.044642857142857144,36676,7,99,0.876
qwen25-7b-1m,ko,niah_single,0.5,12,0.49998632073402405,0.9017857165474977,0.5393550624804837,1.0,0.49987515567668844,0.49998632073402405,0.12117347081324883,0.4863037432410887,1.0,0.5000249719513314,qa,0.026785714285714284,36676,7,99,0.9055
qwen25-7b-1m,ko,niah_single,0.5,13,0.49998632073402405,0.8966836761683226,0.5737951802355903,1.0,0.49981846208018915,0.49998632073402405,0.1288265327789954,0.4526678148124899,1.0,0.5000939502247742,qa,0.03571428571428571,36676,7,99,0.9222
qwen25-7b-1m,ko,niah_single,0.5,14,0.5,0.8915816353900092,0.8301651286227363,1.0,0.49915836405541214,0.5,0.07908163432564054,0.14218509888243197,1.0,0.5009121144456523,qa,0.03571428571428571,36674,7,98,0.0663
qwen25-7b-1m,ko,niah_single,0.5,15,0.49998632073402405,0.8839285732912165,0.698590227801885,1.0,0.49946915943707737,0.49998632073402405,0.09311224639947925,0.2781015050963366,1.0,0.5005641228386334,qa,0.0625,36676,7,99,0.1445
qwen25-7b-1m,ko,niah_single,0.5,16,0.49998632073402405,0.8750000021287373,0.5606435635792357,1.0,0.4998183771967888,0.49998632073402405,0.09183673653751612,0.4047913740256003,1.0,0.5002499196146216,qa,0.05357142857142857,36676,7,99,0.4415
qwen25-7b-1m,ko,niah_single,0.5,17,0.49998632073402405,0.8852040835523179,0.6691576101418052,1.0,0.4995597507804632,0.49998632073402405,0.09183673640447003,0.3039596249582246,1.0,0.5004806316324643,qa,0.0625,36676,7,99,0.2656
qwen25-7b-1m,ko,niah_single,0.5,18,0.49998632073402405,0.8750000021287373,0.5630304092275245,1.0,0.4998117669352463,0.49998632073402405,0.10076530836522579,0.40602899755218197,1.0,0.5002464942101922,qa,0.044642857142857144,36676,7,99,0.4415
qwen25-7b-1m,ko,niah_single,0.5,19,0.49998632073402405,0.9107142879760691,0.4697128917489733,1.0,0.5000709907284805,0.49998632073402405,0.12755102158657142,0.5646883834685598,1.0,0.4998053964227438,qa,0.026785714285714284,36676,7,99,0.876
qwen25-7b-1m,ko,niah_single,0.5,20,0.5,0.9017857162814055,0.5224654357880354,1.0,0.4999427337731634,0.5,0.12755102238484792,0.5087365553315196,1.0,0.49997773127896444,qa,0.026785714285714284,36674,7,98,0.6302
qwen25-7b-1m,ko,niah_single,0.5,21,0.49998632073402405,0.9043367366705622,0.5797932358192546,1.0,0.49977851126875195,0.49998632073402405,0.11989796108433179,0.45093985001689624,1.0,0.5001140508268561,qa,0.026785714285714284,36676,7,99,0.5149
qwen25-7b-1m,ko,niah_single,0.5,22,0.5,0.8979591869616083,0.5721884439034122,1.0,0.49981399731976645,0.5,0.12244898173958063,0.458396655973047,1.0,0.5001071984214442,qa,0.017857142857142856,36674,7,98,0.515
qwen25-7b-1m,ko,niah_single,0.5,23,0.49998632073402405,0.8788265334442258,0.5907905288040638,1.0,0.4997648434447391,0.49998632073402405,0.0943877569266728,0.3768057794825706,1.0,0.5002867869500603,qa,0.05357142857142857,36676,7,99,0.3404
qwen25-7b-1m,en,niah_single,0.5,0,0.49998486042022705,0.8890306138034377,0.853528900737209,1.0,0.4995346335428102,0.49998486042022705,0.07142857249294009,0.11415816550808293,1.0,0.5004761961421796,qa,0.0625,33089,7,66,0.0309
qwen25-7b-1m,en,niah_single,0.5,1,0.49998486042022705,0.8673469416264977,0.728826543598968,1.0,0.499742060101458,0.49998486042022705,0.09693877771496773,0.24030612911363797,1.0,0.5002603781010423,qa,0.0625,33089,7,66,0.2223
qwen25-7b-1m,en,niah_single,0.5,2,0.5,0.8966836760352764,0.6532738136925867,1.0,0.49980481980102404,0.5,0.14413265511393547,0.38307823866073576,1.0,0.5001488852181605,qa,0.026785714285714284,33091,7,67,0.9346
qwen25-7b-1m,en,niah_single,0.5,3,0.49998486042022705,0.9043367369366544,0.8050595207938126,1.0,0.4996519208486591,0.49998486042022705,0.0612244913354516,0.1644345271633938,1.0,0.5003510641732386,qa,0.03571428571428571,33089,7,66,0.1399
qwen25-7b-1m,en,niah_single,0.5,4,0.49998486042022705,0.8877551051388893,0.7188644837588072,1.0,0.49972605731870445,0.49998486042022705,0.15561224799603224,0.31616301177668255,1.0,0.5002022098217692,qa,0.017857142857142856,33089,7,66,0.9597
qwen25-7b-1m,en,niah_single,0.5,5,0.49998486042022705,0.9068877578579954,0.7363839271877494,1.0,0.4996981636754104,0.49998486042022705,0.12882653304508754,0.2984374997072986,1.0,0.50022928789258,qa,0.017857142857142856,33089,7,66,0.8566
qwen25-7b-1m,en,niah_single,0.5,6,0.49998486042022705,0.9081632678530046,0.6487369356410844,1.0,0.49979994632303715,0.49998486042022705,0.13010204304009676,0.38196863965796574,1.0,0.500131561553904,qa,0.026785714285714284,33089,7,66,0.9346
qwen25-7b-1m,en,niah_single,0.5,7,0.49998486042022705,0.894132656045258,0.6566964273474046,1.0,0.4997948056885174,0.49998486042022705,0.13137755303510598,0.3698660713687007,1.0,0.5001426613224405,qa,0.026785714285714284,33089,7,66,0.6911
qwen25-7b-1m,en,niah_single,0.5,8,0.5,0.8775510230500784,0.7913763025509459,1.0,0.4996377980070455,0.5,0.08673469629138708,0.17465156695938536,1.0,0.5004044324159622,qa,0.044642857142857144,33091,7,67,0.3398
qwen25-7b-1m,en,niah_single,0.5,9,0.49998486042022705,0.9068877575919032,0.705762986892036,1.0,0.49971031344362665,0.49998486042022705,0.13010204277400458,0.3297483771374183,1.0,0.5002119863139731,qa,0.017857142857142856,33089,7,66,0.6238
qwen25-7b-1m,en,niah_single,0.5,10,0.5,0.8903061248628157,0.7225446432296719,1.0,0.499730118151222,0.5,0.13265306382839168,0.2957589303010276,1.0,0.50024768044906,qa,0.017857142857142856,33091,7,67,0.9597
qwen25-7b-1m,en,niah_single,0.5,11,0.49998486042022705,0.8775510235822627,0.7179878021457365,1.0,0.4997138599199908,0.49998486042022705,0.15051020681858063,0.3142421614112599,1.0,0.500215752848557,qa,0.017857142857142856,33089,7,66,0.8566
