model,arm,task,lang,press,kept,base_acc,base_floor,delta,delta_ci_low,delta_ci_high,gap_amp,ga_ci_low,ga_ci_high,ga_sig,ga_p,gap_amp_logodds,ga_lo_ci_low,ga_lo_ci_high,ga_lo_sig,ga_lo_p,ga_q,ga_lo_q,ga_sig_bh,ga_lo_sig_bh
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,0.63,False,-0.05,-0.16,0.06,0.07,-0.08,0.21,False,0.367,0.3399,-0.3616,1.0052,False,0.326,0.40036363636363637,0.37858064516129036,False,False
llama31-8b,qa,niah_none,vi,knorm,0.5,0.63,False,0.17,0.08,0.27,0.26,0.13,0.38,True,0.0009995002498750624,1.0924,0.564,1.6231,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,vi,knorm,0.25,0.63,False,0.46,0.35,0.5602,0.47,0.32,0.61,True,0.0009995002498750624,2.132,1.4441,2.9127,True,0.0009995002498750624,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,zh,snapkv,0.5,0.24,True,0.07,-0.02,0.16,0.25,0.13,0.37,True,0.001,1.3275,0.6772,2.0378,True,0.001,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,zh,snapkv,0.25,0.24,True,-0.19,-0.3,-0.07,0.02,-0.12,0.17,False,0.777,0.2471,-0.4759,1.0271,False,0.489,0.777,0.550125,False,False
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,0.24,True,-0.05,-0.14,0.05,-0.02,-0.1303,0.1,False,0.748,-0.1238,-0.6905,0.4479,False,0.678,0.7693714285714286,0.6973714285714286,False,False
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,0.24,True,-0.4,-0.51,-0.28,-0.28,-0.44,-0.1398,True,0.0009995002498750624,-1.1492,-1.9234,-0.4751,True,0.001,0.0016363636363636365,0.0016363636363636365,True,True
llama31-8b,qa,niah_none,zh,knorm,0.5,0.24,True,0.06,-0.02,0.14,0.15,0.04,0.26,True,0.013,0.7634,0.174,1.3954,True,0.014,0.018,0.021,True,True
llama31-8b,qa,niah_none,zh,knorm,0.25,0.24,True,-0.14,-0.23,-0.05,-0.13,-0.26,-0.0,True,0.049,-0.6115,-1.244,-0.0422,True,0.039,0.063,0.054,False,False
llama31-8b,qa,niah_single,en,snapkv,0.5,1.0,False,0.1,0.04,0.16,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_single,en,snapkv,0.25,1.0,False,0.55,0.45,0.64,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_single,en,streaming_llm,0.5,1.0,False,0.54,0.44,0.64,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_single,en,streaming_llm,0.25,1.0,False,0.73,0.64,0.81,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_single,en,knorm,0.5,1.0,False,0.28,0.19,0.37,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_single,en,knorm,0.25,1.0,False,0.83,0.76,0.9,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
llama31-8b,qa,niah_single,ja,snapkv,0.5,0.98,False,0.22,0.14,0.31,0.12,0.02,0.22,True,0.027,-0.6142,-1.5588,1.3691,False,0.516,0.051157894736842104,0.5992258064516129,False,False
llama31-8b,qa,niah_single,ja,snapkv,0.25,0.98,False,0.77,0.68,0.85,0.22,0.09,0.35,True,0.003,-0.5205,-1.5523,1.4158,False,0.571,0.008307692307692308,0.6423749999999999,True,False
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,0.98,False,0.53,0.43,0.63,-0.01,-0.15,0.13,False,0.934,-1.5896,-2.5996,0.3207,False,0.154,0.9606857142857144,0.22463999999999998,False,False
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,0.98,False,0.73,0.64,0.82,0.0,-0.12,0.13,False,1.0,-1.5272,-2.5686,0.3776,False,0.168,1.0,0.2326153846153846,False,False
llama31-8b,qa,niah_single,ja,knorm,0.5,0.98,False,0.49,0.39,0.59,0.21,0.08,0.34,True,0.002,-0.6562,-1.6453,1.2682,False,0.462,0.006000000000000001,0.5735172413793104,True,False
llama31-8b,qa,niah_single,ja,knorm,0.25,0.98,False,0.81,0.73,0.88,-0.02,-0.13,0.08,False,0.781,-1.6295,-2.739,0.3246,False,0.148,0.9069677419354839,0.22463999999999998,False,False
llama31-8b,qa,niah_single,ko,snapkv,0.5,0.77,False,-0.01,-0.08,0.07,-0.11,-0.21,-0.01,True,0.025,-3.2056,-3.9011,-2.2706,True,0.0009995002498750624,0.05,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,ko,snapkv,0.25,0.77,False,0.15,0.05,0.25,-0.4,-0.54,-0.26,True,0.0009995002498750624,-4.7932,-5.3969,-4.1734,True,0.0009995002498750624,0.0032710917268638407,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,0.77,False,0.39,0.25,0.52,-0.15,-0.32,0.01,False,0.067,-3.7843,-4.5434,-3.016,True,0.0009995002498750624,0.1048695652173913,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,0.77,False,0.56,0.4297,0.69,-0.17,-0.33,-0.02,True,0.023,-3.7854,-4.642,-2.8919,True,0.0009995002498750624,0.048705882352941175,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,ko,knorm,0.5,0.77,False,-0.1,-0.18,-0.03,-0.38,-0.5,-0.26,True,0.0009995002498750624,-5.0453,-5.7493,-4.3628,True,0.0009995002498750624,0.0032710917268638407,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,ko,knorm,0.25,0.77,False,-0.05,-0.14,0.04,-0.88,-1.0,-0.75,True,0.0009995002498750624,-7.1677,-8.0057,-6.395,True,0.0009995002498750624,0.0032710917268638407,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,pl,snapkv,0.5,0.84,False,0.54,0.44,0.64,0.44,0.32,0.55,True,0.0009995002498750624,-0.6781,-1.4445,0.3654,False,0.204,0.0032710917268638407,0.2622857142857143,True,False
llama31-8b,qa,niah_single,pl,snapkv,0.25,0.84,False,0.84,0.76,0.91,0.29,0.17,0.41,True,0.0009995002498750624,1.4347,0.8174,2.1559,True,0.0009995002498750624,0.0032710917268638407,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,0.84,False,0.35,0.2,0.49,-0.19,-0.38,-0.02,True,0.033,-3.7891,-4.669,-2.8651,True,0.0009995002498750624,0.05940000000000001,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,0.84,False,0.56,0.4,0.7,-0.17,-0.35,-0.01,True,0.048,-3.7193,-4.6767,-2.6628,True,0.0009995002498750624,0.07854545454545454,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,pl,knorm,0.5,0.84,False,0.54,0.44,0.64,0.26,0.13,0.39,True,0.0009995002498750624,-1.8983,-2.5396,-1.0608,True,0.0009995002498750624,0.0032710917268638407,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,pl,knorm,0.25,0.84,False,0.8,0.72,0.87,-0.03,-0.13,0.08,False,0.618,-2.1671,-3.1749,-0.6699,True,0.01,0.7758620689655172,0.018,False,True
llama31-8b,qa,niah_single,sw,snapkv,0.5,0.92,False,0.01,-0.02,0.05,-0.09,-0.16,-0.02,True,0.011,-3.0272,-3.7203,-2.0598,True,0.001,0.026399999999999996,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,sw,snapkv,0.25,0.92,False,0.02,-0.05,0.09,-0.53,-0.65,-0.41,True,0.0009995002498750624,-5.2688,-6.2275,-4.2471,True,0.0009995002498750624,0.0032710917268638407,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,0.92,False,0.49,0.4,0.59,-0.05,-0.18,0.09,False,0.505,-2.7959,-3.4856,-1.7932,True,0.0009995002498750624,0.6992307692307692,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,0.92,False,0.65,0.56,0.74,-0.08,-0.2,0.04,False,0.236,-2.9162,-3.6864,-1.9209,True,0.0009995002498750624,0.3398399999999999,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,sw,knorm,0.5,0.92,False,0.24,0.13,0.35,-0.04,-0.1703,0.1,False,0.625,-2.7281,-3.5633,-1.6138,True,0.0009995002498750624,0.7758620689655172,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,sw,knorm,0.25,0.92,False,0.86,0.78,0.93,0.03,-0.07,0.14,False,0.575,-1.802,-2.8554,-0.2444,True,0.029,0.7666666666666666,0.04971428571428572,False,True
llama31-8b,qa,niah_single,vi,snapkv,0.5,0.9,False,0.76,0.67,0.85,0.66,0.55,0.77,True,0.0009995002498750624,0.7906,-0.0977,2.1301,False,0.077,0.0032710917268638407,0.126,True,False
llama31-8b,qa,niah_single,vi,snapkv,0.25,0.9,False,0.87,0.8,0.93,0.32,0.2,0.44,True,0.0009995002498750624,-0.0209,-1.0512,1.9052,False,0.872,0.0032710917268638407,0.8969142857142857,True,False
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,0.9,False,0.5,0.39,0.61,-0.04,-0.18,0.11,False,0.658,-2.9067,-3.6384,-1.8862,True,0.0009995002498750624,0.7896000000000001,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,0.9,False,0.71,0.61,0.81,-0.02,-0.15,0.12,False,0.843,-2.7022,-3.5422,-1.5648,True,0.0009995002498750624,0.9196363636363636,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,vi,knorm,0.5,0.9,False,0.11,0.01,0.21,-0.17,-0.3,-0.03,True,0.02,-3.5234,-4.3716,-2.4106,True,0.0009995002498750624,0.045,0.0018947368421052633,True,True
llama31-8b,qa,niah_single,vi,knorm,0.25,0.9,False,0.76,0.67,0.8402,-0.07,-0.18,0.04,False,0.233,-2.926,-3.8291,-1.8266,True,0.0009995002498750624,0.3398399999999999,0.0018947368421052633,False,True
llama31-8b,qa,niah_single,zh,snapkv,0.5,0.98,False,0.35,0.25,0.45,0.25,0.14,0.37,True,0.0009995002498750624,-0.0023,-1.1016,2.1081,False,0.846,0.0032710917268638407,0.8957647058823529,True,False
llama31-8b,qa,niah_single,zh,snapkv,0.25,0.98,False,0.74,0.64,0.83,0.19,0.06,0.32,True,0.006,-0.6896,-1.8022,1.3282,False,0.483,0.015428571428571429,0.5795999999999999,True,False
llama31-8b,qa,niah_single,zh,streaming_llm,0.5,0.98,False,0.55,0.45,0.65,0.01,-0.12,0.15,False,0.917,-1.5093,-2.4892,0.3603,False,0.189,0.9606857142857144,0.252,False,False
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,0.98,False,0.71,0.62,0.79,-0.02,-0.14,0.1,False,0.84,-1.6295,-2.6591,0.3081,False,0.156,0.9196363636363636,0.22463999999999998,False,False
llama31-8b,qa,niah_single,zh,knorm,0.5,0.98,False,0.62,0.52,0.72,0.34,0.21,0.48,True,0.0009995002498750624,-0.1265,-1.184,1.8495,False,0.986,0.0032710917268638407,0.9860000000000001,True,False
llama31-8b,qa,niah_single,zh,knorm,0.25,0.98,False,0.93,0.88,0.98,0.1,0.01,0.19,True,0.039,-0.3378,-1.5801,1.8929,False,0.817,0.06685714285714285,0.8912727272727272,False,False
qwen25-7b-1m,joint,niah_single,en,snapkv,0.5,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,en,snapkv,0.25,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,0.98,False,0.53,0.42,0.63,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,0.98,False,0.71,0.61,0.79,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,en,knorm,0.5,0.98,False,0.89,0.82,0.95,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,en,knorm,0.25,0.98,False,0.97,0.93,1.0,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,0.9,False,-0.05,-0.11,0.0,-0.05,-0.11,0.0,False,0.108,-0.7004,-1.8321,0.0,False,0.108,0.486,0.35345454545454547,False,False
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,0.9,False,-0.02,-0.08,0.04,-0.02,-0.08,0.04,False,0.623,-0.2332,-1.0137,0.4791,False,0.623,1.0,0.9751304347826087,False,False
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,0.9,False,0.45,0.34,0.56,-0.08,-0.22,0.07,False,0.335,-1.5198,-3.4943,-0.2778,True,0.017,1.0,0.12240000000000002,False,False
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,0.9,False,0.62,0.51,0.73,-0.09,-0.23,0.05,False,0.255,-1.5692,-3.6192,-0.2029,True,0.022,0.9179999999999999,0.13199999999999998,False,False
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,0.9,False,0.82,0.74,0.89,-0.07,-0.16,0.03,False,0.193,-1.3977,-3.5162,0.1325,False,0.069,0.772,0.276,False,False
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,0.9,False,0.89,0.83,0.95,-0.08,-0.15,-0.01,True,0.033,-1.5198,-4.1469,0.5787,False,0.196,0.17485714285714288,0.441,False,False
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,1.0,False,0.01,0.0,0.03,0.01,0.0,0.03,False,0.765,1.1086,0.0,1.9762,False,0.765,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.25,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,1.0,False,0.51,0.41,0.6,-0.02,-0.1603,0.12,False,0.86,1.4705,-0.3999,2.5204,False,0.173,1.0,0.441,False,False
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,1.0,False,0.72,0.63,0.81,0.01,-0.12,0.14,False,0.931,1.5801,-0.3007,2.6797,False,0.142,1.0,0.4236923076923077,False,False
qwen25-7b-1m,joint,niah_single,ko,knorm,0.5,1.0,False,0.37,0.28,0.47,-0.52,-0.63,-0.41,True,0.0009995002498750624,-1.1622,-3.2035,-0.0776,True,0.037,0.008995502248875561,0.16649999999999998,True,False
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,1.0,False,0.95,0.9,0.99,-0.02,-0.08,0.03,False,0.6,0.2892,-2.2378,1.9773,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.5,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.25,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,1.0,False,0.51,0.41,0.6002,-0.02,-0.1603,0.12,False,0.816,1.4705,-0.4378,2.546,False,0.187,1.0,0.441,False,False
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,1.0,False,0.72,0.63,0.8,0.01,-0.13,0.14,False,0.945,1.5801,-0.3643,2.7176,False,0.153,1.0,0.4236923076923077,False,False
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,1.0,False,0.93,0.88,0.98,0.04,-0.04,0.12,False,0.365,1.8876,-0.1776,3.3228,False,0.082,1.0,0.2952,False,False
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,1.0,False,0.99,0.97,1.0,0.02,-0.02,0.06,False,0.422,1.6295,-0.8676,3.6058,False,0.288,1.0,0.6098823529411764,False,False
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,0.56,True,-0.03,-0.09,0.03,-0.03,-0.09,0.03,False,0.44,-0.1215,-0.3952,0.1266,False,0.44,1.0,0.768,False,False
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,0.56,True,0.08,0.01,0.15,0.08,0.01,0.15,True,0.034,0.318,0.0398,0.6035,True,0.034,0.17485714285714288,0.16649999999999998,False,False
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,0.56,True,0.31,0.2,0.42,-0.22,-0.3703,-0.06,True,0.007,-2.5482,-4.4845,-1.4181,True,0.0009995002498750624,0.0504,0.008995502248875561,False,True
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,0.56,True,0.42,0.3,0.53,-0.29,-0.44,-0.14,True,0.0009995002498750624,-2.6321,-4.6472,-1.415,True,0.0009995002498750624,0.008995502248875561,0.008995502248875561,True,True
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,0.56,True,0.48,0.36,0.59,-0.41,-0.54,-0.28,True,0.0009995002498750624,-3.3129,-5.3898,-1.9511,True,0.0009995002498750624,0.008995502248875561,0.008995502248875561,True,True
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,0.56,True,0.55,0.45,0.65,-0.42,-0.53,-0.31,True,0.0009995002498750624,-3.435,-6.0106,-1.296,True,0.0009995002498750624,0.008995502248875561,0.008995502248875561,True,True
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.5,0.96,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.25,0.96,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,0.96,False,0.47,0.37,0.57,-0.06,-0.19,0.09,False,0.47,-0.7674,-2.7569,0.9081,False,0.348,1.0,0.696,False,False
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,0.96,False,0.68,0.59,0.77,-0.03,-0.16,0.11,False,0.72,-0.6577,-2.7063,1.1294,False,0.448,1.0,0.768,False,False
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,0.96,False,0.85,0.77,0.92,-0.04,-0.14,0.06,False,0.469,-0.8215,-3.0067,1.1302,False,0.373,1.0,0.7067368421052632,False,False
qwen25-7b-1m,joint,niah_single,vi,knorm,0.25,0.96,False,0.96,0.92,0.99,-0.01,-0.06,0.04,False,0.877,0.5003,-1.9762,2.3229,False,0.901,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.5,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.25,0.98,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,0.98,False,0.56,0.47,0.66,0.03,-0.1,0.18,False,0.689,0.1209,-1.8775,2.1231,False,0.855,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,0.98,False,0.73,0.64,0.81,0.02,-0.1,0.1402,False,0.805,0.1024,-1.92,2.2091,False,0.865,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,0.98,False,0.89,0.82,0.95,0.0,-0.09,0.09,False,1.0,0.0,-2.2843,2.2186,False,0.98,1.0,1.0,False,False
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,0.98,False,0.98,0.95,1.0,0.01,-0.03,0.05,False,0.781,1.1086,-1.1292,3.2591,False,0.497,1.0,0.8132727272727273,False,False
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,0.96,False,0.0,-0.03,0.03,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,0.96,False,-0.01,-0.05,0.03,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.5,0.96,False,-0.01,-0.04,0.02,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,0.96,False,0.01,-0.04,0.06,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_none,en,knorm,0.5,0.96,False,-0.03,-0.07,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_none,en,knorm,0.25,0.96,False,-0.02,-0.05,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,0.75,False,-0.11,-0.2,-0.03,-0.11,-0.2,-0.03,True,0.012,-0.7005,-1.7318,0.216,False,0.116,0.027,0.3008571428571429,True,False
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,0.75,False,-0.17,-0.26,-0.08,-0.16,-0.26,-0.06,True,0.001,-1.0401,-2.8033,0.61,False,0.171,0.0024000000000000002,0.348,True,False
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,0.75,False,0.18,0.07,0.29,0.19,0.07,0.3,True,0.0009995002498750624,1.0681,-0.1141,2.5731,False,0.067,0.0024000000000000002,0.3008571428571429,True,False
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,0.75,False,-0.03,-0.14,0.08,-0.04,-0.15,0.08,False,0.523,-0.3752,-1.9613,0.9409,False,0.545,0.6724285714285714,0.7848,False,False
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,0.75,False,-0.18,-0.26,-0.1,-0.15,-0.2302,-0.07,True,0.0009995002498750624,-0.3084,-1.7431,1.231,False,0.709,0.0024000000000000002,0.9292499999999999,True,False
qwen25-7b-1m,qa,niah_none,ja,knorm,0.25,0.75,False,-0.18,-0.27,-0.09,-0.16,-0.26,-0.06,True,0.0009995002498750624,-0.8293,-2.1285,0.6674,False,0.227,0.0024000000000000002,0.4086,True,False
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,0.37,True,-0.18,-0.27,-0.09,-0.18,-0.27,-0.08,True,0.0009995002498750624,-0.7254,-1.6857,0.134,False,0.09,0.0024000000000000002,0.3008571428571429,True,False
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,0.37,True,-0.25,-0.34,-0.15,-0.24,-0.34,-0.14,True,0.0009995002498750624,-0.7496,-2.2686,0.8792,False,0.283,0.0024000000000000002,0.46309090909090905,True,False
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,0.37,True,-0.04,-0.13,0.04,-0.03,-0.12,0.06,False,0.572,0.0952,-1.0643,1.5839,False,0.88,0.6816774193548386,0.9483428571428572,False,False
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,0.37,True,-0.2,-0.3,-0.1,-0.21,-0.32,-0.1,True,0.0009995002498750624,-1.0168,-2.6196,0.2429,False,0.107,0.0024000000000000002,0.3008571428571429,True,False
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,0.37,True,-0.18,-0.27,-0.09,-0.15,-0.2403,-0.06,True,0.001,0.4039,-0.7636,1.9183,False,0.499,0.0024000000000000002,0.7484999999999999,True,False
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,0.37,True,-0.39,-0.49,-0.3,-0.37,-0.47,-0.27,True,0.0009995002498750624,-1.057,-1.9796,0.393,False,0.117,0.0024000000000000002,0.3008571428571429,True,False
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.5,1.0,False,0.0,0.0,0.0,0.0,-0.03,0.03,False,1.0,0.0,-0.8676,0.8194,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.25,1.0,False,0.0,0.0,0.0,0.01,-0.03,0.05,False,0.826,0.2616,-1.1292,1.9296,False,0.826,0.8495999999999999,0.9292499999999999,False,False
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.5,1.0,False,0.0,0.0,0.0,0.01,-0.02,0.04,False,0.81,0.2616,-0.8676,1.6295,False,0.81,0.8495999999999999,0.9292499999999999,False,False
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.25,1.0,False,0.0,0.0,0.0,-0.01,-0.06,0.04,False,0.821,-0.2111,-1.6716,0.997,False,0.821,0.8495999999999999,0.9292499999999999,False,False
qwen25-7b-1m,qa,niah_none,pl,knorm,0.5,1.0,False,0.0,0.0,0.0,0.03,0.0,0.07,False,0.104,1.1292,0.0,2.6265,False,0.104,0.20084210526315788,0.3008571428571429,False,False
qwen25-7b-1m,qa,niah_none,pl,knorm,0.25,1.0,False,0.0,0.0,0.0,0.02,0.0,0.05,False,0.282,0.6083,0.0,1.9762,False,0.282,0.40608,0.46309090909090905,False,False
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,0.58,True,-0.29,-0.39,-0.2,-0.29,-0.39,-0.19,True,0.0009995002498750624,-1.5494,-2.632,-0.664,True,0.006,0.0024000000000000002,0.108,True,False
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,0.58,True,-0.37,-0.48,-0.27,-0.36,-0.48,-0.25,True,0.0009995002498750624,-2.2732,-4.2284,-0.6024,True,0.011,0.0024000000000000002,0.13199999999999998,True,False
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,0.58,True,-0.35,-0.46,-0.24,-0.34,-0.46,-0.23,True,0.0009995002498750624,-1.9419,-3.4641,-0.4182,True,0.021,0.0024000000000000002,0.189,True,False
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.25,0.58,True,-0.42,-0.52,-0.3298,-0.43,-0.54,-0.33,True,0.0009995002498750624,-5.1949,-6.7428,-3.9145,True,0.0009995002498750624,0.0024000000000000002,0.035982008995502246,True,True
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,0.58,True,-0.25,-0.37,-0.13,-0.22,-0.34,-0.1,True,0.0009995002498750624,-0.1139,-1.3471,1.4395,False,0.922,0.0024000000000000002,0.9483428571428572,True,False
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,0.58,True,-0.32,-0.43,-0.22,-0.3,-0.41,-0.2,True,0.0009995002498750624,-1.2262,-2.3573,0.2654,False,0.091,0.0024000000000000002,0.3008571428571429,True,False
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,0.9,False,-0.01,-0.05,0.03,-0.01,-0.06,0.04,False,0.796,-0.1111,-1.13,0.8041,False,0.783,0.8495999999999999,0.9292499999999999,False,False
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,0.9,False,-0.08,-0.15,-0.01,-0.07,-0.15,0.01,False,0.106,-1.2582,-3.5956,0.7415,False,0.174,0.20084210526315788,0.348,False,False
