model,arm,task,lang,press,kept,base_acc,base_floor,delta,delta_ci_low,delta_ci_high,gap_amp,ga_ci_low,ga_ci_high,ga_sig,ga_p,gap_amp_logodds,ga_lo_ci_low,ga_lo_ci_high,ga_lo_sig,ga_lo_p,ga_q,ga_lo_q,ga_sig_bh,ga_lo_sig_bh
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,0.48,True,0.48,0.38,0.58,-0.48,-0.59,-0.38,True,0.0009995002498750624,-2.1235,-4.4747,-0.8883,True,0.001,0.0036000000000000003,0.009000000000000001,True,True
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,0.96,False,0.9,0.84,0.96,0.29,0.17,0.4,True,0.0009995002498750624,1.5418,-0.5466,3.7079,False,0.15,0.0036000000000000003,0.40114285714285713,True,False
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,0.96,False,0.96,0.92,0.99,0.05,-0.01,0.12,False,0.149,2.1719,0.0,3.9694,False,0.052,0.3831428571428571,0.18719999999999998,False,False
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,0.96,False,0.46,0.3598,0.57,-0.07,-0.21,0.08,False,0.397,-0.807,-2.7917,0.9047,False,0.329,0.8118000000000001,0.6233684210526317,False,False
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,0.96,False,0.67,0.57,0.77,-0.04,-0.18,0.1,False,0.62,-0.7061,-2.769,1.1294,False,0.417,0.9347142857142857,0.6823636363636363,False,False
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,0.96,False,0.85,0.77,0.9102,-0.09,-0.18,-0.01,True,0.049,-1.6219,-4.0684,0.2333,False,0.097,0.1356923076923077,0.31745454545454543,False,False
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,0.96,False,0.94,0.89,0.98,-0.02,-0.08,0.04,False,0.64,-0.6083,-3.2355,1.9762,False,0.629,0.9347142857142857,0.7739999999999999,False,False
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,0.98,False,0.62,0.53,0.72,0.01,-0.12,0.14,False,0.881,0.0427,-1.9762,2.0473,False,0.93,0.991125,0.9565714285714287,False,False
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,0.98,False,0.87,0.8,0.93,-0.04,-0.13,0.0402,False,0.414,-0.4712,-2.59,1.6368,False,0.645,0.8118000000000001,0.7739999999999999,False,False
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,0.98,False,0.55,0.45,0.65,0.02,-0.12,0.17,False,0.796,0.0804,-1.9476,2.1231,False,0.902,0.9768,0.9550588235294118,False,False
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,0.98,False,0.71,0.62,0.8,0.0,-0.13,0.13,False,1.0,0.0,-2.0315,2.128,False,0.957,1.0,0.957,False,False
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,0.98,False,0.92,0.86,0.97,-0.02,-0.1,0.05,False,0.679,-0.3887,-2.9162,1.913,False,0.744,0.9347142857142857,0.837,False,False
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,0.98,False,0.98,0.95,1.0,0.02,-0.02,0.07,False,0.507,1.6295,-0.8676,3.6058,False,0.265,0.8623636363636364,0.5962500000000001,False,False
