[18:34:32] ===== stage=aggregate ts=20260729_183432 ctx=32768 attn=sdpa seed_default=42 =====
[18:34:35] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_aggregate_20260729_183432.txt
[18:34:37] excluding 42 toy selftest rows from aggregation
[18:34:38] per-cell table (95% bootstrap CIs):
       model   arm lang  ctx_len         press  kept        task  seed   toy  acc  ci_low  ci_high   n  mean_wall_s
  llama31-8b    qa   ja    32768         knorm  0.50   niah_none    42 False 0.33    0.24     0.42 100         5.84
  llama31-8b    qa   ko    32768         knorm  0.50   niah_none    42 False 0.71    0.61     0.79 100         5.81
  llama31-8b    qa   pl    32768         knorm  0.50   niah_none    42 False 0.94    0.89     0.98 100         5.50
  llama31-8b    qa   sw    32768         knorm  0.50   niah_none    42 False 0.05    0.01     0.09 100         6.54
  llama31-8b    qa   vi    32768         knorm  0.50   niah_none    42 False 0.46    0.37     0.56 100         5.76
  llama31-8b    qa   zh    32768         knorm  0.50   niah_none    42 False 0.18    0.10     0.25 100         6.20
  llama31-8b    qa   en    32768          none  1.00   niah_none    42 False 0.63    0.53     0.72 100         5.36
  llama31-8b    qa   ja    32768          none  1.00   niah_none    42 False 0.51    0.41     0.61 100         5.43
  llama31-8b    qa   ko    32768          none  1.00   niah_none    42 False 0.83    0.75     0.90 100         6.24
  llama31-8b    qa   pl    32768          none  1.00   niah_none    42 False 0.93    0.87     0.97 100         5.73
  llama31-8b    qa   sw    32768          none  1.00   niah_none    42 False 0.21    0.13     0.29 100         6.97
  llama31-8b    qa   vi    32768          none  1.00   niah_none    42 False 0.63    0.53     0.72 100         5.87
  llama31-8b    qa   zh    32768          none  1.00   niah_none    42 False 0.24    0.16     0.32 100         5.73
  llama31-8b    qa   en    32768        snapkv  0.25   niah_none    42 False 0.84    0.76     0.91 100         5.12
  llama31-8b    qa   ja    32768        snapkv  0.25   niah_none    42 False 0.50    0.40     0.60 100         5.65
  llama31-8b    qa   ko    32768        snapkv  0.25   niah_none    42 False 0.32    0.23     0.41 100         6.02
  llama31-8b    qa   pl    32768        snapkv  0.25   niah_none    42 False 0.95    0.91     0.99 100         5.21
  llama31-8b    qa   sw    32768        snapkv  0.25   niah_none    42 False 0.07    0.02     0.12 100         6.33
  llama31-8b    qa   vi    32768        snapkv  0.25   niah_none    42 False 0.76    0.67     0.84 100         5.39
  llama31-8b    qa   zh    32768        snapkv  0.25   niah_none    42 False 0.43    0.33     0.52 100         5.68
  llama31-8b    qa   en    32768        snapkv  0.50   niah_none    42 False 0.81    0.73     0.88 100         5.22
  llama31-8b    qa   ja    32768        snapkv  0.50   niah_none    42 False 0.46    0.36     0.56 100         5.73
  llama31-8b    qa   ko    32768        snapkv  0.50   niah_none    42 False 0.65    0.55     0.75 100         5.97
  llama31-8b    qa   pl    32768        snapkv  0.50   niah_none    42 False 0.97    0.93     1.00 100         5.26
  llama31-8b    qa   sw    32768        snapkv  0.50   niah_none    42 False 0.13    0.07     0.21 100         6.46
  llama31-8b    qa   vi    32768        snapkv  0.50   niah_none    42 False 0.59    0.50     0.69 100         5.78
  llama31-8b    qa   zh    32768        snapkv  0.50   niah_none    42 False 0.17    0.10     0.24 100         6.29
  llama31-8b    qa   en    32768 streaming_llm  0.25   niah_none    42 False 0.75    0.66     0.83 100         5.08
  llama31-8b    qa   ja    32768 streaming_llm  0.25   niah_none    42 False 0.87    0.80     0.93 100         4.96
  llama31-8b    qa   ko    32768 streaming_llm  0.25   niah_none    42 False 0.38    0.29     0.48 100         5.89
  llama31-8b    qa   pl    32768 streaming_llm  0.25   niah_none    42 False 0.39    0.30     0.48 100         5.55
  llama31-8b    qa   sw    32768 streaming_llm  0.25   niah_none    42 False 0.06    0.02     0.11 100         6.37
  llama31-8b    qa   vi    32768 streaming_llm  0.25   niah_none    42 False 0.68    0.58     0.77 100         5.41
  llama31-8b    qa   zh    32768 streaming_llm  0.25   niah_none    42 False 0.64    0.54     0.73 100         5.02
  llama31-8b    qa   en    32768 streaming_llm  0.50   niah_none    42 False 0.66    0.56     0.75 100         5.29
  llama31-8b    qa   ja    32768 streaming_llm  0.50   niah_none    42 False 0.69    0.60     0.78 100         5.16
  llama31-8b    qa   ko    32768 streaming_llm  0.50   niah_none    42 False 0.26    0.18     0.34 100         6.24
  llama31-8b    qa   pl    32768 streaming_llm  0.50   niah_none    42 False 0.69    0.61     0.78 100         5.46
  llama31-8b    qa   sw    32768 streaming_llm  0.50   niah_none    42 False 0.02    0.00     0.05 100         6.54
  llama31-8b    qa   vi    32768 streaming_llm  0.50   niah_none    42 False 0.74    0.65     0.82 100         5.40
  llama31-8b    qa   zh    32768 streaming_llm  0.50   niah_none    42 False 0.29    0.20     0.38 100         5.33
  llama31-8b    qa   en    32768         knorm  0.25 niah_single    42 False 0.17    0.10     0.25 100         5.42
  llama31-8b    qa   ja    32768         knorm  0.25 niah_single    42 False 0.17    0.10     0.25 100         4.94
  llama31-8b    qa   ko    32768         knorm  0.25 niah_single    42 False 0.82    0.74     0.90 100         4.96
  llama31-8b    qa   pl    32768         knorm  0.25 niah_single    42 False 0.04    0.01     0.08 100         5.36
  llama31-8b    qa   sw    32768         knorm  0.25 niah_single    42 False 0.06    0.02     0.11 100         6.16
  llama31-8b    qa   vi    32768         knorm  0.25 niah_single    42 False 0.14    0.07     0.22 100         5.75
  llama31-8b    qa   zh    32768         knorm  0.25 niah_single    42 False 0.05    0.02     0.10 100         5.21
  llama31-8b    qa   en    32768         knorm  0.50 niah_single    42 False 0.72    0.63     0.80 100         5.11
  llama31-8b    qa   ja    32768         knorm  0.50 niah_single    42 False 0.49    0.39     0.59 100         4.99
  llama31-8b    qa   ko    32768         knorm  0.50 niah_single    42 False 0.87    0.81     0.93 100         5.09
  llama31-8b    qa   pl    32768         knorm  0.50 niah_single    42 False 0.30    0.21     0.39 100         5.35
  llama31-8b    qa   sw    32768         knorm  0.50 niah_single    42 False 0.68    0.58     0.76 100         5.71
  llama31-8b    qa   vi    32768         knorm  0.50 niah_single    42 False 0.79    0.71     0.86 100         5.32
  llama31-8b    qa   zh    32768         knorm  0.50 niah_single    42 False 0.36    0.27     0.45 100         5.17
  llama31-8b    qa   en    32768          none  1.00 niah_single    42 False 1.00    1.00     1.00 100         5.22
  llama31-8b    qa   ja    32768          none  1.00 niah_single    42 False 0.98    0.95     1.00 100         5.16
  llama31-8b    qa   ko    32768          none  1.00 niah_single    42 False 0.77    0.68     0.85 100         5.39
  llama31-8b    qa   pl    32768          none  1.00 niah_single    42 False 0.84    0.77     0.91 100         5.57
  llama31-8b    qa   sw    32768          none  1.00 niah_single    42 False 0.92    0.86     0.97 100         5.96
  llama31-8b    qa   vi    32768          none  1.00 niah_single    42 False 0.90    0.84     0.96 100         5.65
  llama31-8b    qa   zh    32768          none  1.00 niah_single    42 False 0.98    0.95     1.00 100         5.16
  llama31-8b    qa   en    32768        snapkv  0.25 niah_single    42 False 0.45    0.36     0.55 100         5.47
  llama31-8b    qa   ja    32768        snapkv  0.25 niah_single    42 False 0.21    0.13     0.29 100         5.57
  llama31-8b    qa   ko    32768        snapkv  0.25 niah_single    42 False 0.62    0.53     0.71 100         5.66
  llama31-8b    qa   pl    32768        snapkv  0.25 niah_single    42 False 0.00    0.00     0.00 100         5.48
  llama31-8b    qa   sw    32768        snapkv  0.25 niah_single    42 False 0.90    0.84     0.96 100         5.62
  llama31-8b    qa   vi    32768        snapkv  0.25 niah_single    42 False 0.03    0.00     0.07 100         5.42
  llama31-8b    qa   zh    32768        snapkv  0.25 niah_single    42 False 0.24    0.16     0.33 100         5.18
  llama31-8b    qa   en    32768        snapkv  0.50 niah_single    42 False 0.90    0.84     0.95 100         5.37
  llama31-8b    qa   ja    32768        snapkv  0.50 niah_single    42 False 0.76    0.68     0.84 100         5.21
  llama31-8b    qa   ko    32768        snapkv  0.50 niah_single    42 False 0.78    0.70     0.86 100         5.46
  llama31-8b    qa   pl    32768        snapkv  0.50 niah_single    42 False 0.30    0.22     0.39 100         5.46
  llama31-8b    qa   sw    32768        snapkv  0.50 niah_single    42 False 0.91    0.84     0.96 100         5.67
  llama31-8b    qa   vi    32768        snapkv  0.50 niah_single    42 False 0.14    0.08     0.21 100         5.60
  llama31-8b    qa   zh    32768        snapkv  0.50 niah_single    42 False 0.63    0.54     0.72 100         5.24
  llama31-8b    qa   en    32768 streaming_llm  0.25 niah_single    42 False 0.27    0.19     0.36 100         5.08
  llama31-8b    qa   ja    32768 streaming_llm  0.25 niah_single    42 False 0.25    0.17     0.33 100         4.83
