model,arm,task,lang,press,kept,mode,n,rate
llama31-8b,joint,niah_single,sw,knorm,0.25,wrong_number,74,0.74
llama31-8b,joint,niah_single,sw,knorm,0.5,correct,62,0.62
llama31-8b,joint,niah_single,sw,knorm,0.5,false_absence,3,0.03
llama31-8b,joint,niah_single,sw,knorm,0.5,other,12,0.12
llama31-8b,joint,niah_single,sw,knorm,0.5,wrong_number,23,0.23
llama31-8b,joint,niah_single,sw,none,1.0,correct,92,0.92
llama31-8b,joint,niah_single,sw,none,1.0,false_absence,1,0.01
llama31-8b,joint,niah_single,sw,none,1.0,other,1,0.01
llama31-8b,joint,niah_single,sw,none,1.0,wrong_number,6,0.06
llama31-8b,joint,niah_single,sw,snapkv,0.25,correct,92,0.92
llama31-8b,joint,niah_single,sw,snapkv,0.25,false_absence,1,0.01
llama31-8b,joint,niah_single,sw,snapkv,0.25,wrong_number,7,0.07
llama31-8b,joint,niah_single,sw,snapkv,0.5,correct,92,0.92
llama31-8b,joint,niah_single,sw,snapkv,0.5,false_absence,1,0.01
llama31-8b,joint,niah_single,sw,snapkv,0.5,other,1,0.01
llama31-8b,joint,niah_single,sw,snapkv,0.5,wrong_number,6,0.06
llama31-8b,joint,niah_single,sw,streaming_llm,0.25,correct,28,0.28
llama31-8b,joint,niah_single,sw,streaming_llm,0.25,false_absence,59,0.59
llama31-8b,joint,niah_single,sw,streaming_llm,0.25,wrong_number,13,0.13
llama31-8b,joint,niah_single,sw,streaming_llm,0.5,correct,43,0.43
llama31-8b,joint,niah_single,sw,streaming_llm,0.5,false_absence,47,0.47
llama31-8b,joint,niah_single,sw,streaming_llm,0.5,other,3,0.03
llama31-8b,joint,niah_single,sw,streaming_llm,0.5,wrong_number,7,0.07
llama31-8b,joint,niah_single,vi,knorm,0.25,correct,2,0.02
llama31-8b,joint,niah_single,vi,knorm,0.25,false_absence,87,0.87
llama31-8b,joint,niah_single,vi,knorm,0.25,wrong_number,11,0.11
llama31-8b,joint,niah_single,vi,knorm,0.5,correct,36,0.36
llama31-8b,joint,niah_single,vi,knorm,0.5,false_absence,50,0.5
llama31-8b,joint,niah_single,vi,knorm,0.5,wrong_number,14,0.14
llama31-8b,joint,niah_single,vi,none,1.0,correct,92,0.92
llama31-8b,joint,niah_single,vi,none,1.0,false_absence,8,0.08
llama31-8b,joint,niah_single,vi,snapkv,0.25,correct,93,0.93
llama31-8b,joint,niah_single,vi,snapkv,0.25,false_absence,7,0.07
llama31-8b,joint,niah_single,vi,snapkv,0.5,correct,93,0.93
llama31-8b,joint,niah_single,vi,snapkv,0.5,false_absence,7,0.07
llama31-8b,joint,niah_single,vi,streaming_llm,0.25,correct,24,0.24
llama31-8b,joint,niah_single,vi,streaming_llm,0.25,false_absence,21,0.21
llama31-8b,joint,niah_single,vi,streaming_llm,0.25,wrong_number,55,0.55
llama31-8b,joint,niah_single,vi,streaming_llm,0.5,correct,44,0.44
llama31-8b,joint,niah_single,vi,streaming_llm,0.5,false_absence,25,0.25
llama31-8b,joint,niah_single,vi,streaming_llm,0.5,other,2,0.02
llama31-8b,joint,niah_single,vi,streaming_llm,0.5,wrong_number,29,0.29
llama31-8b,joint,niah_single,zh,knorm,0.25,correct,6,0.06
llama31-8b,joint,niah_single,zh,knorm,0.25,false_absence,12,0.12
llama31-8b,joint,niah_single,zh,knorm,0.25,wrong_number,82,0.82
llama31-8b,joint,niah_single,zh,knorm,0.5,correct,40,0.4
llama31-8b,joint,niah_single,zh,knorm,0.5,false_absence,5,0.05
llama31-8b,joint,niah_single,zh,knorm,0.5,wrong_number,55,0.55
llama31-8b,joint,niah_single,zh,none,1.0,correct,98,0.98
llama31-8b,joint,niah_single,zh,none,1.0,false_absence,2,0.02
llama31-8b,joint,niah_single,zh,snapkv,0.25,correct,98,0.98
llama31-8b,joint,niah_single,zh,snapkv,0.25,false_absence,2,0.02
llama31-8b,joint,niah_single,zh,snapkv,0.5,correct,98,0.98
llama31-8b,joint,niah_single,zh,snapkv,0.5,false_absence,2,0.02
llama31-8b,joint,niah_single,zh,streaming_llm,0.25,correct,27,0.27
llama31-8b,joint,niah_single,zh,streaming_llm,0.25,false_absence,30,0.3
llama31-8b,joint,niah_single,zh,streaming_llm,0.25,other,19,0.19
llama31-8b,joint,niah_single,zh,streaming_llm,0.25,wrong_number,24,0.24
llama31-8b,joint,niah_single,zh,streaming_llm,0.5,correct,43,0.43
llama31-8b,joint,niah_single,zh,streaming_llm,0.5,false_absence,29,0.29
llama31-8b,joint,niah_single,zh,streaming_llm,0.5,other,22,0.22
llama31-8b,joint,niah_single,zh,streaming_llm,0.5,wrong_number,6,0.06
llama31-8b,qa,niah_none,en,knorm,0.25,correct,64,0.64
llama31-8b,qa,niah_none,en,knorm,0.25,false_presence_distractor,10,0.1
llama31-8b,qa,niah_none,en,knorm,0.25,false_presence_hallucinated,26,0.26
llama31-8b,qa,niah_none,en,knorm,0.5,correct,72,0.72
llama31-8b,qa,niah_none,en,knorm,0.5,false_presence_distractor,18,0.18
llama31-8b,qa,niah_none,en,knorm,0.5,false_presence_hallucinated,10,0.1
llama31-8b,qa,niah_none,en,none,1.0,correct,63,0.63
llama31-8b,qa,niah_none,en,none,1.0,false_presence_distractor,37,0.37
llama31-8b,qa,niah_none,en,snapkv,0.25,correct,84,0.84
llama31-8b,qa,niah_none,en,snapkv,0.25,false_presence_distractor,5,0.05
llama31-8b,qa,niah_none,en,snapkv,0.25,false_presence_hallucinated,11,0.11
llama31-8b,qa,niah_none,en,snapkv,0.5,correct,81,0.81
llama31-8b,qa,niah_none,en,snapkv,0.5,false_presence_distractor,14,0.14
llama31-8b,qa,niah_none,en,snapkv,0.5,false_presence_hallucinated,5,0.05
llama31-8b,qa,niah_none,en,streaming_llm,0.25,correct,75,0.75
