model,arm,task,lang,press,kept,mode,n,rate
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,correct,21,0.21
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,false_absence,57,0.57
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,other,1,0.01
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,wrong_number,21,0.21
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,correct,38,0.38
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,false_absence,48,0.48
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,wrong_number,14,0.14
llama31-8b,qa,niah_single,pl,knorm,0.25,correct,4,0.04
llama31-8b,qa,niah_single,pl,knorm,0.25,false_absence,44,0.44
llama31-8b,qa,niah_single,pl,knorm,0.25,wrong_number,52,0.52
llama31-8b,qa,niah_single,pl,knorm,0.5,correct,30,0.3
llama31-8b,qa,niah_single,pl,knorm,0.5,false_absence,25,0.25
llama31-8b,qa,niah_single,pl,knorm,0.5,wrong_number,45,0.45
llama31-8b,qa,niah_single,pl,none,1.0,correct,84,0.84
llama31-8b,qa,niah_single,pl,none,1.0,false_absence,16,0.16
llama31-8b,qa,niah_single,pl,snapkv,0.25,false_absence,80,0.8
llama31-8b,qa,niah_single,pl,snapkv,0.25,wrong_number,20,0.2
llama31-8b,qa,niah_single,pl,snapkv,0.5,correct,30,0.3
llama31-8b,qa,niah_single,pl,snapkv,0.5,false_absence,53,0.53
llama31-8b,qa,niah_single,pl,snapkv,0.5,wrong_number,17,0.17
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,correct,28,0.28
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,other,52,0.52
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,wrong_number,20,0.2
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,correct,49,0.49
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,other,2,0.02
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,wrong_number,49,0.49
llama31-8b,qa,niah_single,sw,knorm,0.25,correct,6,0.06
llama31-8b,qa,niah_single,sw,knorm,0.25,false_absence,1,0.01
llama31-8b,qa,niah_single,sw,knorm,0.25,other,9,0.09
llama31-8b,qa,niah_single,sw,knorm,0.25,wrong_number,84,0.84
llama31-8b,qa,niah_single,sw,knorm,0.5,correct,68,0.68
llama31-8b,qa,niah_single,sw,knorm,0.5,other,5,0.05
llama31-8b,qa,niah_single,sw,knorm,0.5,wrong_number,27,0.27
llama31-8b,qa,niah_single,sw,none,1.0,correct,92,0.92
llama31-8b,qa,niah_single,sw,none,1.0,false_absence,1,0.01
llama31-8b,qa,niah_single,sw,none,1.0,other,1,0.01
llama31-8b,qa,niah_single,sw,none,1.0,wrong_number,6,0.06
llama31-8b,qa,niah_single,sw,snapkv,0.25,correct,90,0.9
llama31-8b,qa,niah_single,sw,snapkv,0.25,false_absence,6,0.06
llama31-8b,qa,niah_single,sw,snapkv,0.25,wrong_number,4,0.04
llama31-8b,qa,niah_single,sw,snapkv,0.5,correct,91,0.91
llama31-8b,qa,niah_single,sw,snapkv,0.5,false_absence,2,0.02
llama31-8b,qa,niah_single,sw,snapkv,0.5,wrong_number,7,0.07
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,correct,27,0.27
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,false_absence,10,0.1
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,other,6,0.06
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,wrong_number,57,0.57
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,correct,43,0.43
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,false_absence,3,0.03
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,other,11,0.11
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,wrong_number,43,0.43
llama31-8b,qa,niah_single,vi,knorm,0.25,correct,14,0.14
llama31-8b,qa,niah_single,vi,knorm,0.25,wrong_number,86,0.86
llama31-8b,qa,niah_single,vi,knorm,0.5,correct,79,0.79
llama31-8b,qa,niah_single,vi,knorm,0.5,false_absence,2,0.02
llama31-8b,qa,niah_single,vi,knorm,0.5,wrong_number,19,0.19
llama31-8b,qa,niah_single,vi,none,1.0,correct,90,0.9
llama31-8b,qa,niah_single,vi,none,1.0,false_absence,10,0.1
llama31-8b,qa,niah_single,vi,snapkv,0.25,correct,3,0.03
llama31-8b,qa,niah_single,vi,snapkv,0.25,false_absence,80,0.8
llama31-8b,qa,niah_single,vi,snapkv,0.25,wrong_number,17,0.17
llama31-8b,qa,niah_single,vi,snapkv,0.5,correct,14,0.14
llama31-8b,qa,niah_single,vi,snapkv,0.5,false_absence,59,0.59
llama31-8b,qa,niah_single,vi,snapkv,0.5,other,3,0.03
llama31-8b,qa,niah_single,vi,snapkv,0.5,wrong_number,24,0.24
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,correct,19,0.19
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,false_absence,61,0.61
llama31-8b,qa,niah_single,vi,streaming_llm,0.25,wrong_number,20,0.2
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,correct,40,0.4
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,false_absence,50,0.5
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,wrong_number,10,0.1
llama31-8b,qa,niah_single,zh,knorm,0.25,correct,5,0.05
llama31-8b,qa,niah_single,zh,knorm,0.25,false_absence,28,0.28
llama31-8b,qa,niah_single,zh,knorm,0.25,wrong_number,67,0.67
llama31-8b,qa,niah_single,zh,knorm,0.5,correct,36,0.36
llama31-8b,qa,niah_single,zh,knorm,0.5,false_absence,4,0.04
llama31-8b,qa,niah_single,zh,knorm,0.5,wrong_number,60,0.6
llama31-8b,qa,niah_single,zh,none,1.0,correct,98,0.98
llama31-8b,qa,niah_single,zh,none,1.0,false_absence,2,0.02
llama31-8b,qa,niah_single,zh,snapkv,0.25,correct,24,0.24
llama31-8b,qa,niah_single,zh,snapkv,0.25,false_absence,55,0.55
llama31-8b,qa,niah_single,zh,snapkv,0.25,other,9,0.09
llama31-8b,qa,niah_single,zh,snapkv,0.25,wrong_number,12,0.12
llama31-8b,qa,niah_single,zh,snapkv,0.5,correct,63,0.63
llama31-8b,qa,niah_single,zh,snapkv,0.5,false_absence,13,0.13
llama31-8b,qa,niah_single,zh,snapkv,0.5,other,3,0.03
llama31-8b,qa,niah_single,zh,snapkv,0.5,wrong_number,21,0.21
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,correct,27,0.27
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,false_absence,65,0.65
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,other,5,0.05
llama31-8b,qa,niah_single,zh,streaming_llm,0.25,wrong_number,3,0.03
llama31-8b,qa,niah_single,zh,streaming_llm,0.5,correct,43,0.43
llama31-8b,qa,niah_single,zh,streaming_llm,0.5,false_absence,47,0.47
llama31-8b,qa,niah_single,zh,streaming_llm,0.5,wrong_number,10,0.1
qwen25-7b-1m,joint,niah_single,en,knorm,0.25,correct,1,0.01
qwen25-7b-1m,joint,niah_single,en,knorm,0.25,false_absence,3,0.03
qwen25-7b-1m,joint,niah_single,en,knorm,0.25,wrong_number,96,0.96
qwen25-7b-1m,joint,niah_single,en,knorm,0.5,correct,9,0.09
qwen25-7b-1m,joint,niah_single,en,knorm,0.5,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,en,knorm,0.5,wrong_number,89,0.89
qwen25-7b-1m,joint,niah_single,en,none,1.0,correct,98,0.98
qwen25-7b-1m,joint,niah_single,en,none,1.0,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,en,snapkv,0.25,correct,98,0.98
qwen25-7b-1m,joint,niah_single,en,snapkv,0.25,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,en,snapkv,0.5,correct,98,0.98
qwen25-7b-1m,joint,niah_single,en,snapkv,0.5,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,correct,27,0.27
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,false_absence,10,0.1
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,other,3,0.03
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,wrong_number,60,0.6
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,correct,45,0.45
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,false_absence,6,0.06
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,other,7,0.07
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,wrong_number,42,0.42
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,correct,1,0.01
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,false_absence,21,0.21
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,other,14,0.14
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,wrong_number,64,0.64
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,correct,8,0.08
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,wrong_number,90,0.9
qwen25-7b-1m,joint,niah_single,ja,none,1.0,correct,90,0.9
qwen25-7b-1m,joint,niah_single,ja,none,1.0,false_absence,10,0.1
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,correct,92,0.92
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,false_absence,7,0.07
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,wrong_number,1,0.01
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,correct,95,0.95
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,false_absence,5,0.05
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,correct,28,0.28
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,false_absence,9,0.09
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,other,3,0.03
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,wrong_number,60,0.6
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,correct,45,0.45
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,false_absence,15,0.15
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,other,3,0.03
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,wrong_number,37,0.37
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,correct,5,0.05
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,false_absence,3,0.03
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,wrong_number,92,0.92
qwen25-7b-1m,joint,niah_single,ko,knorm,0.5,correct,63,0.63
qwen25-7b-1m,joint,niah_single,ko,knorm,0.5,wrong_number,37,0.37
qwen25-7b-1m,joint,niah_single,ko,none,1.0,correct,100,1.0
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.25,correct,100,1.0
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,correct,99,0.99
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,false_absence,1,0.01
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,correct,28,0.28
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,false_absence,12,0.12
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,other,4,0.04
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,wrong_number,56,0.56
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,correct,49,0.49
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,false_absence,13,0.13
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,other,2,0.02
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,wrong_number,36,0.36
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,correct,1,0.01
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,false_absence,20,0.2
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,other,6,0.06
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,wrong_number,73,0.73
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,correct,7,0.07
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,false_absence,5,0.05
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,wrong_number,88,0.88
qwen25-7b-1m,joint,niah_single,pl,none,1.0,correct,100,1.0
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.25,correct,100,1.0
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.5,correct,100,1.0
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,correct,28,0.28
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,false_absence,4,0.04
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,other,3,0.03
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,wrong_number,65,0.65
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,correct,49,0.49
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,false_absence,4,0.04
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,other,6,0.06
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,wrong_number,41,0.41
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,correct,1,0.01
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,false_absence,6,0.06
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,other,39,0.39
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,wrong_number,54,0.54
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,correct,8,0.08
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,false_absence,5,0.05
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,other,11,0.11
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,wrong_number,76,0.76
qwen25-7b-1m,joint,niah_single,sw,none,1.0,correct,56,0.56
qwen25-7b-1m,joint,niah_single,sw,none,1.0,false_absence,44,0.44
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,correct,48,0.48
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,false_absence,47,0.47
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,wrong_number,5,0.05
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,correct,59,0.59
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,false_absence,40,0.4
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,wrong_number,1,0.01
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,correct,14,0.14
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,false_absence,85,0.85
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,wrong_number,1,0.01
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,correct,25,0.25
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,false_absence,73,0.73
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,wrong_number,2,0.02
qwen25-7b-1m,joint,niah_single,vi,knorm,0.25,false_absence,3,0.03
qwen25-7b-1m,joint,niah_single,vi,knorm,0.25,wrong_number,97,0.97
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,correct,11,0.11
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,false_absence,1,0.01
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,wrong_number,88,0.88
qwen25-7b-1m,joint,niah_single,vi,none,1.0,correct,96,0.96
qwen25-7b-1m,joint,niah_single,vi,none,1.0,false_absence,4,0.04
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.25,correct,96,0.96
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.25,false_absence,4,0.04
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.5,correct,96,0.96
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.5,false_absence,4,0.04
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,correct,28,0.28
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,false_absence,10,0.1
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,other,13,0.13
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,wrong_number,49,0.49
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,correct,49,0.49
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,false_absence,10,0.1
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,other,7,0.07
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,wrong_number,34,0.34
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,false_absence,25,0.25
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,other,8,0.08
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,wrong_number,67,0.67
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,correct,9,0.09
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,false_absence,5,0.05
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,other,3,0.03
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,wrong_number,83,0.83
qwen25-7b-1m,joint,niah_single,zh,none,1.0,correct,98,0.98
qwen25-7b-1m,joint,niah_single,zh,none,1.0,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.25,correct,98,0.98
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.25,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.5,correct,98,0.98
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.5,false_absence,2,0.02
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,correct,25,0.25
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,false_absence,56,0.56
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,wrong_number,19,0.19
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,correct,42,0.42
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,false_absence,46,0.46
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,wrong_number,12,0.12
qwen25-7b-1m,qa,niah_none,en,knorm,0.25,correct,98,0.98
qwen25-7b-1m,qa,niah_none,en,knorm,0.25,false_presence_hallucinated,2,0.02
qwen25-7b-1m,qa,niah_none,en,knorm,0.5,correct,99,0.99
qwen25-7b-1m,qa,niah_none,en,knorm,0.5,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,en,none,1.0,correct,96,0.96
qwen25-7b-1m,qa,niah_none,en,none,1.0,false_presence_distractor,4,0.04
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,correct,97,0.97
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,false_presence_hallucinated,2,0.02
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,correct,96,0.96
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,false_presence_distractor,2,0.02
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,false_presence_hallucinated,2,0.02
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,correct,95,0.95
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,false_presence_distractor,5,0.05
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.5,correct,97,0.97
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.5,false_presence_distractor,3,0.03
qwen25-7b-1m,qa,niah_none,ja,knorm,0.25,correct,93,0.93
qwen25-7b-1m,qa,niah_none,ja,knorm,0.25,false_presence_hallucinated,7,0.07
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,correct,93,0.93
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,false_presence_hallucinated,6,0.06
qwen25-7b-1m,qa,niah_none,ja,none,1.0,correct,75,0.75
qwen25-7b-1m,qa,niah_none,ja,none,1.0,false_presence_distractor,24,0.24
qwen25-7b-1m,qa,niah_none,ja,none,1.0,other,1,0.01
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,correct,92,0.92
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,false_presence_hallucinated,6,0.06
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,other,2,0.02
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,correct,86,0.86
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,false_presence_distractor,2,0.02
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,false_presence_hallucinated,11,0.11
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,other,1,0.01
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,correct,78,0.78
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,false_presence_distractor,11,0.11
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,other,11,0.11
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,correct,57,0.57
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,false_presence_distractor,12,0.12
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,false_presence_hallucinated,1,0.01
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,other,30,0.3
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,correct,76,0.76
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,false_presence_distractor,4,0.04
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,false_presence_hallucinated,20,0.2
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,correct,55,0.55
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,false_presence_distractor,43,0.43
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,false_presence_hallucinated,1,0.01
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,other,1,0.01
qwen25-7b-1m,qa,niah_none,ko,none,1.0,correct,37,0.37
qwen25-7b-1m,qa,niah_none,ko,none,1.0,false_presence_distractor,61,0.61
qwen25-7b-1m,qa,niah_none,ko,none,1.0,other,2,0.02
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,correct,62,0.62
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,false_presence_distractor,29,0.29
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,false_presence_hallucinated,7,0.07
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,other,2,0.02
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,correct,55,0.55
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,false_presence_distractor,43,0.43
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,other,2,0.02
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,correct,57,0.57
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,false_presence_distractor,42,0.42
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,other,1,0.01
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,correct,41,0.41
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,false_presence_distractor,57,0.57
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,other,2,0.02
qwen25-7b-1m,qa,niah_none,pl,knorm,0.25,correct,100,1.0
qwen25-7b-1m,qa,niah_none,pl,knorm,0.5,correct,100,1.0
qwen25-7b-1m,qa,niah_none,pl,none,1.0,correct,100,1.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.25,correct,100,1.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.5,correct,100,1.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.25,correct,100,1.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.5,correct,100,1.0
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,correct,90,0.9
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,false_presence_hallucinated,5,0.05
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,other,4,0.04
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,correct,83,0.83
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,false_presence_hallucinated,2,0.02
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,other,14,0.14
qwen25-7b-1m,qa,niah_none,sw,none,1.0,correct,58,0.58
qwen25-7b-1m,qa,niah_none,sw,none,1.0,false_presence_distractor,36,0.36
qwen25-7b-1m,qa,niah_none,sw,none,1.0,false_presence_hallucinated,6,0.06
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,correct,95,0.95
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,false_presence_distractor,4,0.04
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,other,1,0.01
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,correct,87,0.87
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,false_presence_distractor,11,0.11
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,false_presence_hallucinated,2,0.02
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.25,correct,100,1.0
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,correct,93,0.93
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,false_presence_distractor,4,0.04
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,other,3,0.03
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,correct,95,0.95
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,false_presence_hallucinated,5,0.05
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,correct,90,0.9
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,false_presence_distractor,3,0.03
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,false_presence_hallucinated,7,0.07
qwen25-7b-1m,qa,niah_none,vi,none,1.0,correct,90,0.9
qwen25-7b-1m,qa,niah_none,vi,none,1.0,false_presence_distractor,10,0.1
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,correct,98,0.98
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,false_presence_hallucinated,1,0.01
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,correct,91,0.91
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,false_presence_hallucinated,7,0.07
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,other,1,0.01
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,correct,98,0.98
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,false_presence_distractor,2,0.02
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,correct,96,0.96
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,false_presence_distractor,4,0.04
qwen25-7b-1m,qa,niah_none,zh,knorm,0.25,correct,100,1.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,correct,99,0.99
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,false_presence_distractor,1,0.01
qwen25-7b-1m,qa,niah_none,zh,none,1.0,correct,94,0.94
qwen25-7b-1m,qa,niah_none,zh,none,1.0,false_presence_distractor,6,0.06
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,correct,99,0.99
