model,press,kept,lang,acc_qa,acc_joint,coverage_qa,coverage_joint,n
qwen25-7b-1m,snapkv,0.25,pl,0.04,1.0,0.2,1.0,100
qwen25-7b-1m,snapkv,0.25,sw,0.08,0.48,0.1,0.53,100
qwen25-7b-1m,snapkv,0.25,vi,0.0,0.96,0.12,0.96,100
qwen25-7b-1m,snapkv,0.25,zh,0.11,0.98,0.34,0.98,100
qwen25-7b-1m,snapkv,0.5,en,0.37,0.98,0.81,0.98,100
qwen25-7b-1m,snapkv,0.5,ja,0.16,0.95,0.63,1.0,100
qwen25-7b-1m,snapkv,0.5,ko,0.94,0.99,0.96,1.0,100
qwen25-7b-1m,snapkv,0.5,pl,0.44,1.0,0.75,1.0,100
qwen25-7b-1m,snapkv,0.5,sw,0.23,0.59,0.24,0.6,100
qwen25-7b-1m,snapkv,0.5,vi,0.06,0.96,0.43,0.96,100
qwen25-7b-1m,snapkv,0.5,zh,0.36,0.98,0.82,0.98,100
qwen25-7b-1m,streaming_llm,0.25,en,0.27,0.27,0.27,0.4,100
qwen25-7b-1m,streaming_llm,0.25,ja,0.28,0.28,0.28,0.64,100
qwen25-7b-1m,streaming_llm,0.25,ko,0.27,0.28,0.28,0.55,100
qwen25-7b-1m,streaming_llm,0.25,pl,0.28,0.28,0.28,0.48,100
qwen25-7b-1m,streaming_llm,0.25,sw,0.07,0.14,0.1,0.16,100
qwen25-7b-1m,streaming_llm,0.25,vi,0.29,0.28,0.29,0.33,100
qwen25-7b-1m,streaming_llm,0.25,zh,0.27,0.25,0.27,0.32,100
qwen25-7b-1m,streaming_llm,0.5,en,0.45,0.45,0.45,0.53,100
qwen25-7b-1m,streaming_llm,0.5,ja,0.46,0.45,0.46,0.64,100
qwen25-7b-1m,streaming_llm,0.5,ko,0.48,0.49,0.49,0.64,100
qwen25-7b-1m,streaming_llm,0.5,pl,0.49,0.49,0.49,0.58,100
qwen25-7b-1m,streaming_llm,0.5,sw,0.11,0.25,0.12,0.25,100
qwen25-7b-1m,streaming_llm,0.5,vi,0.5,0.49,0.5,0.53,100
qwen25-7b-1m,streaming_llm,0.5,zh,0.43,0.42,0.43,0.49,100
