model,arm,task,lang,press,kept,n,acc_official,acc_recomputed,acc_robust,delta_robust
llama31-8b,qa,niah_none,zh,none,1.0,100,0.24,0.24,0.22,0.02
llama31-8b,qa,niah_none,sw,snapkv,0.25,100,0.07,0.07,0.05,0.02
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,100,0.38,0.38,0.4,-0.02
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,100,0.57,0.57,0.55,0.02
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,100,0.55,0.55,0.53,0.02
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,100,0.14,0.14,0.16,-0.02
llama31-8b,qa,niah_none,pl,none,1.0,100,0.93,0.93,0.91,0.02
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,100,0.48,0.48,0.49,-0.01
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,100,0.16,0.16,0.17,-0.01
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,100,0.27,0.27,0.28,-0.01
qwen25-7b-1m,qa,niah_none,ko,none,1.0,100,0.37,0.37,0.36,0.01
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,100,0.41,0.41,0.4,0.01
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,100,0.95,0.95,0.94,0.01
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,100,0.93,0.93,0.92,0.01
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,100,0.45,0.45,0.46,-0.01
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,100,0.99,0.99,1.0,-0.01
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,100,0.08,0.08,0.09,-0.01
qwen25-7b-1m,joint,niah_single,sw,none,1.0,100,0.56,0.56,0.57,-0.01
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,100,0.62,0.62,0.61,0.01
llama31-8b,qa,niah_none,en,none,1.0,100,0.63,0.63,0.62,0.01
llama31-8b,qa,niah_none,en,streaming_llm,0.5,100,0.66,0.66,0.65,0.01
llama31-8b,qa,niah_none,ja,snapkv,0.25,100,0.5,0.5,0.49,0.01
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,100,0.29,0.29,0.28,0.01
llama31-8b,qa,niah_none,ja,streaming_llm,0.5,100,0.69,0.69,0.68,0.01
llama31-8b,qa,niah_none,en,knorm,0.25,100,0.64,0.64,0.63,0.01
llama31-8b,qa,niah_none,vi,none,1.0,100,0.63,0.63,0.62,0.01
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,100,0.95,0.95,0.94,0.01
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.25,100,1.0,1.0,0.99,0.01
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,100,0.93,0.93,0.92,0.01
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,100,0.98,0.98,0.97,0.01
llama31-8b,qa,niah_none,pl,knorm,0.25,100,0.91,0.91,0.9,0.01
llama31-8b,qa,niah_none,vi,snapkv,0.5,100,0.59,0.59,0.58,0.01
llama31-8b,qa,niah_none,zh,knorm,0.5,100,0.18,0.18,0.17,0.01
llama31-8b,qa,niah_none,zh,snapkv,0.25,100,0.43,0.43,0.42,0.01
llama31-8b,qa,niah_none,sw,knorm,0.5,100,0.05,0.05,0.04,0.01
llama31-8b,joint,niah_single,ko,knorm,0.5,100,0.49,0.49,0.5,-0.01
qwen25-7b-1m,qa,niah_single,sw,none,1.0,100,0.48,0.48,0.49,-0.01
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,100,0.69,0.69,0.68,0.01
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,100,0.08,0.08,0.09,-0.01
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,100,0.23,0.23,0.24,-0.01
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,100,0.11,0.11,0.12,-0.01
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,100,0.0,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,100,0.5,0.5,0.5,0.0
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,100,0.29,0.29,0.29,0.0
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,100,0.06,0.06,0.06,0.0
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,100,0.0,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,vi,none,1.0,100,0.96,0.96,0.96,0.0
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,100,0.11,0.11,0.11,0.0
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,100,0.02,0.02,0.02,0.0
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,100,0.0,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,100,0.0,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,100,0.49,0.49,0.49,0.0
llama31-8b,joint,niah_single,ja,streaming_llm,0.5,100,0.44,0.44,0.44,0.0
llama31-8b,joint,niah_single,ja,streaming_llm,0.25,100,0.26,0.26,0.26,0.0
llama31-8b,joint,niah_single,ja,snapkv,0.5,100,0.98,0.98,0.98,0.0
llama31-8b,joint,niah_single,ja,snapkv,0.25,100,0.98,0.98,0.98,0.0
llama31-8b,joint,niah_single,ja,none,1.0,100,0.98,0.98,0.98,0.0
llama31-8b,joint,niah_single,ja,knorm,0.5,100,0.52,0.52,0.52,0.0
llama31-8b,joint,niah_single,ja,knorm,0.25,100,0.17,0.17,0.17,0.0
llama31-8b,joint,niah_single,en,streaming_llm,0.5,100,0.46,0.46,0.46,0.0
llama31-8b,joint,niah_single,en,streaming_llm,0.25,100,0.28,0.28,0.28,0.0
llama31-8b,joint,niah_single,en,snapkv,0.5,100,1.0,1.0,1.0,0.0
llama31-8b,joint,niah_single,en,snapkv,0.25,100,1.0,1.0,1.0,0.0
llama31-8b,joint,niah_single,en,none,1.0,100,1.0,1.0,1.0,0.0
llama31-8b,joint,niah_single,en,knorm,0.5,100,0.7,0.7,0.7,0.0
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,100,0.06,0.06,0.06,0.0
