model,arm,task,press,kept,outcome,fertility_col,k_langs,rho,exact_p,leave_one_out,q_bh,sig_bh
llama31-8b,qa,niah_none,snapkv,0.5,retention,tokens_per_byte_eval,7,-0.5714,0.2,"{""en"": -0.429, ""ja"": -0.543, ""ko"": -0.543, ""pl"": -0.943, ""sw"": -0.314, ""vi"": -0.657, ""zh"": -0.543}",0.7725333333333333,False
llama31-8b,qa,niah_none,streaming_llm,0.25,accuracy,tokens_per_byte_eval,7,-0.75,0.0663,"{""en"": -0.771, ""ja"": -0.771, ""ko"": -0.771, ""pl"": -0.714, ""sw"": -0.6, ""vi"": -0.771, ""zh"": -0.714}",0.7725333333333333,False
llama31-8b,qa,niah_none,streaming_llm,0.25,retention,tokens_per_byte_eval,7,-0.5,0.2667,"{""en"": -0.6, ""ja"": -0.6, ""ko"": -0.429, ""pl"": -0.2, ""sw"": -0.2, ""vi"": -0.6, ""zh"": -0.771}",0.7725333333333333,False
llama31-8b,qa,niah_none,streaming_llm,0.5,accuracy,tokens_per_byte_eval,7,-0.6307,0.1429,"{""en"": -0.696, ""ja"": -0.6, ""ko"": -0.667, ""pl"": -0.886, ""sw"": -0.406, ""vi"": -0.406, ""zh"": -0.667}",0.7725333333333333,False
llama31-8b,qa,niah_none,streaming_llm,0.5,retention,tokens_per_byte_eval,7,-0.5357,0.2357,"{""en"": -0.6, ""ja"": -0.543, ""ko"": -0.543, ""pl"": -0.371, ""sw"": -0.257, ""vi"": -0.6, ""zh"": -0.771}",0.7725333333333333,False
llama31-8b,qa,niah_single,knorm,0.25,accuracy,tokens_per_byte_eval,7,-0.5586,0.2056,"{""en"": -0.6, ""ja"": -0.6, ""ko"": -0.638, ""pl"": -0.406, ""sw"": -0.464, ""vi"": -0.638, ""zh"": -0.406}",0.7725333333333333,False
llama31-8b,qa,niah_single,knorm,0.25,retention,tokens_per_byte_eval,7,-0.5357,0.2357,"{""en"": -0.6, ""ja"": -0.6, ""ko"": -0.6, ""pl"": -0.371, ""sw"": -0.429, ""vi"": -0.6, ""zh"": -0.371}",0.7725333333333333,False
llama31-8b,qa,niah_single,knorm,0.5,accuracy,tokens_per_byte_eval,7,-0.5357,0.2357,"{""en"": -0.429, ""ja"": -0.657, ""ko"": -0.657, ""pl"": -0.429, ""sw"": -0.657, ""vi"": -0.429, ""zh"": -0.429}",0.7725333333333333,False
llama31-8b,qa,niah_single,knorm,0.5,retention,tokens_per_byte_eval,7,-0.3571,0.4444,"{""en"": -0.429, ""ja"": -0.429, ""ko"": -0.429, ""pl"": -0.2, ""sw"": -0.657, ""vi"": -0.143, ""zh"": -0.2}",0.8428499999999999,False
llama31-8b,qa,niah_single,snapkv,0.25,accuracy,tokens_per_byte_eval,7,0.2857,0.556,"{""en"": 0.371, ""ja"": 0.257, ""ko"": 0.257, ""pl"": 0.714, ""sw"": -0.143, ""vi"": 0.143, ""zh"": 0.371}",0.8428499999999999,False
llama31-8b,qa,niah_single,snapkv,0.25,retention,tokens_per_byte_eval,7,0.2857,0.556,"{""en"": 0.371, ""ja"": 0.257, ""ko"": 0.257, ""pl"": 0.714, ""sw"": -0.143, ""vi"": 0.143, ""zh"": 0.371}",0.8428499999999999,False
llama31-8b,qa,niah_single,snapkv,0.5,accuracy,tokens_per_byte_eval,7,0.3214,0.4976,"{""en"": 0.486, ""ja"": 0.429, ""ko"": 0.429, ""pl"": 0.486, ""sw"": -0.086, ""vi"": -0.086, ""zh"": 0.486}",0.8428499999999999,False
llama31-8b,qa,niah_single,snapkv,0.5,retention,tokens_per_byte_eval,7,0.2857,0.556,"{""en"": 0.314, ""ja"": 0.314, ""ko"": 0.429, ""pl"": 0.486, ""sw"": 0.029, ""vi"": -0.143, ""zh"": 0.486}",0.8428499999999999,False
llama31-8b,qa,niah_single,streaming_llm,0.25,accuracy,tokens_per_byte_eval,7,0.6671,0.1119,"{""en"": 0.841, ""ja"": 0.698, ""ko"": 0.698, ""pl"": 0.577, ""sw"": 0.696, ""vi"": 0.455, ""zh"": 0.609}",0.7725333333333333,False
llama31-8b,qa,niah_single,streaming_llm,0.25,retention,tokens_per_byte_eval,7,0.9286,0.0067,"{""en"": 0.943, ""ja"": 0.943, ""ko"": 0.886, ""pl"": 0.943, ""sw"": 0.943, ""vi"": 0.886, ""zh"": 0.886}",0.4824,False
llama31-8b,qa,niah_single,streaming_llm,0.5,accuracy,tokens_per_byte_eval,7,0.1802,0.6984,"{""en"": 0.377, ""ja"": 0.377, ""ko"": 0.261, ""pl"": -0.116, ""sw"": 0.314, ""vi"": -0.145, ""zh"": 0.143}",0.914269090909091,False
llama31-8b,qa,niah_single,streaming_llm,0.5,retention,tokens_per_byte_eval,7,0.4643,0.3024,"{""en"": 0.429, ""ja"": 0.429, ""ko"": 0.543, ""pl"": 0.257, ""sw"": 0.371, ""vi"": 0.371, ""zh"": 0.771}",0.7776,False
qwen25-7b-1m,joint,niah_single,knorm,0.25,accuracy,tokens_per_byte_eval,7,0.3386,0.4571,"{""en"": 0.37, ""ja"": 0.525, ""ko"": 0.207, ""pl"": 0.339, ""sw"": 0.339, ""vi"": 0.169, ""zh"": 0.338}",0.8428499999999999,False
qwen25-7b-1m,joint,niah_single,knorm,0.25,retention,tokens_per_byte_eval,7,0.3243,0.4746,"{""en"": 0.406, ""ja"": 0.551, ""ko"": 0.203, ""pl"": 0.493, ""sw"": 0.029, ""vi"": 0.2, ""zh"": 0.314}",0.8428499999999999,False
qwen25-7b-1m,joint,niah_single,knorm,0.5,accuracy,tokens_per_byte_eval,7,-0.2728,0.5619,"{""en"": -0.29, ""ja"": -0.58, ""ko"": -0.441, ""pl"": 0.088, ""sw"": -0.058, ""vi"": -0.265, ""zh"": -0.29}",0.8428499999999999,False
qwen25-7b-1m,joint,niah_single,knorm,0.5,retention,tokens_per_byte_eval,7,0.2703,0.5579,"{""en"": 0.257, ""ja"": 0.116, ""ko"": 0.232, ""pl"": 0.754, ""sw"": -0.058, ""vi"": 0.29, ""zh"": 0.257}",0.8428499999999999,False
qwen25-7b-1m,joint,niah_single,snapkv,0.25,accuracy,tokens_per_byte_eval,7,0.2182,0.6365,"{""en"": 0.116, ""ja"": 0.088, ""ko"": 0.116, ""pl"": 0.116, ""sw"": 0.971, ""vi"": 0.088, ""zh"": 0.116}",0.8985882352941176,False
qwen25-7b-1m,joint,niah_single,snapkv,0.25,retention,tokens_per_byte_eval,7,-0.8018,0.0476,"{""en"": -0.845, ""ja"": -0.655, ""ko"": -0.845, ""pl"": -0.845, ""sw"": -0.655, ""vi"": -0.845, ""zh"": -0.845}",0.7725333333333333,False
qwen25-7b-1m,joint,niah_single,snapkv,0.5,accuracy,tokens_per_byte_eval,7,0.2342,0.6198,"{""en"": 0.143, ""ja"": 0.116, ""ko"": 0.116, ""pl"": 0.116, ""sw"": 0.986, ""vi"": 0.116, ""zh"": 0.143}",0.892512,False
qwen25-7b-1m,joint,niah_single,snapkv,0.5,retention,tokens_per_byte_eval,7,-0.2167,0.6571,"{""en"": -0.213, ""ja"": 0.338, ""ko"": -0.169, ""pl"": -0.334, ""sw"": -0.676, ""vi"": -0.213, ""zh"": -0.213}",0.8986415094339623,False
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,accuracy,tokens_per_byte_eval,7,-0.4335,0.3429,"{""en"": -0.507, ""ja"": -0.334, ""ko"": -0.638, ""pl"": -0.638, ""sw"": -0.034, ""vi"": -0.334, ""zh"": -0.507}",0.8212645161290324,False
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,retention,tokens_per_byte_eval,7,-0.7027,0.0857,"{""en"": -0.812, ""ja"": -0.522, ""ko"": -0.829, ""pl"": -0.829, ""sw"": -0.522, ""vi"": -0.522, ""zh"": -0.812}",0.7725333333333333,False
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,accuracy,tokens_per_byte_eval,7,-0.1871,0.6905,"{""en"": -0.213, ""ja"": -0.334, ""ko"": -0.412, ""pl"": -0.412, ""sw"": 0.339, ""vi"": -0.088, ""zh"": -0.154}",0.914269090909091,False
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,retention,tokens_per_byte_eval,7,-0.5586,0.2048,"{""en"": -0.58, ""ja"": -0.348, ""ko"": -0.657, ""pl"": -0.657, ""sw"": -0.464, ""vi"": -0.348, ""zh"": -0.754}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_none,knorm,0.25,accuracy,tokens_per_byte_eval,7,-0.0721,0.8873,"{""en"": -0.145, ""ja"": -0.145, ""ko"": 0.116, ""pl"": -0.371, ""sw"": 0.377, ""vi"": -0.145, ""zh"": -0.086}",0.945704347826087,False
qwen25-7b-1m,qa,niah_none,knorm,0.25,retention,tokens_per_byte_eval,7,0.1429,0.7825,"{""en"": 0.143, ""ja"": 0.257, ""ko"": 0.029, ""pl"": 0.543, ""sw"": -0.257, ""vi"": 0.143, ""zh"": 0.086}",0.939,False
qwen25-7b-1m,qa,niah_none,knorm,0.5,accuracy,tokens_per_byte_eval,7,-0.0901,0.8595,"{""en"": -0.143, ""ja"": -0.116, ""ko"": 0.058, ""pl"": -0.464, ""sw"": 0.348, ""vi"": -0.116, ""zh"": -0.143}",0.945704347826087,False
qwen25-7b-1m,qa,niah_none,knorm,0.5,retention,tokens_per_byte_eval,7,0.2523,0.5825,"{""en"": 0.232, ""ja"": 0.435, ""ko"": 0.174, ""pl"": 0.6, ""sw"": -0.087, ""vi"": 0.143, ""zh"": 0.232}",0.8559183673469387,False
qwen25-7b-1m,qa,niah_none,snapkv,0.25,accuracy,tokens_per_byte_eval,7,0.1429,0.7825,"{""en"": 0.2, ""ja"": -0.143, ""ko"": 0.371, ""pl"": -0.143, ""sw"": 0.371, ""vi"": 0.2, ""zh"": 0.143}",0.939,False
qwen25-7b-1m,qa,niah_none,snapkv,0.25,retention,tokens_per_byte_eval,7,0.0714,0.9063,"{""en"": 0.086, ""ja"": 0.143, ""ko"": -0.086, ""pl"": 0.429, ""sw"": -0.371, ""vi"": 0.143, ""zh"": 0.086}",0.945704347826087,False
