model,press,kept,lang,hit_rate,correct_rejection,naive_avg,youden_j,balanced_acc
qwen25-7b-1m,none,1.0,zh,0.98,0.94,0.96,0.92,0.96
qwen25-7b-1m,snapkv,0.25,en,0.07,0.97,0.52,0.04,0.52
qwen25-7b-1m,snapkv,0.25,ja,0.06,0.92,0.49,-0.02,0.49
qwen25-7b-1m,snapkv,0.25,ko,0.73,0.62,0.675,0.35,0.675
qwen25-7b-1m,snapkv,0.25,pl,0.04,1.0,0.52,0.04,0.52
qwen25-7b-1m,snapkv,0.25,sw,0.08,0.95,0.515,0.03,0.515
qwen25-7b-1m,snapkv,0.25,vi,0.0,0.98,0.49,-0.02,0.49
qwen25-7b-1m,snapkv,0.25,zh,0.11,0.99,0.55,0.1,0.55
qwen25-7b-1m,snapkv,0.5,en,0.37,0.96,0.665,0.33,0.665
qwen25-7b-1m,snapkv,0.5,ja,0.16,0.86,0.51,0.02,0.51
qwen25-7b-1m,snapkv,0.5,ko,0.94,0.55,0.745,0.49,0.745
qwen25-7b-1m,snapkv,0.5,pl,0.44,1.0,0.72,0.44,0.72
qwen25-7b-1m,snapkv,0.5,sw,0.23,0.87,0.55,0.1,0.55
qwen25-7b-1m,snapkv,0.5,vi,0.06,0.91,0.485,-0.03,0.485
qwen25-7b-1m,snapkv,0.5,zh,0.36,0.97,0.665,0.33,0.665
qwen25-7b-1m,streaming_llm,0.25,en,0.27,0.95,0.61,0.22,0.61
qwen25-7b-1m,streaming_llm,0.25,ja,0.28,0.78,0.53,0.06,0.53
qwen25-7b-1m,streaming_llm,0.25,ko,0.27,0.57,0.42,-0.16,0.42
qwen25-7b-1m,streaming_llm,0.25,pl,0.28,1.0,0.64,0.28,0.64
qwen25-7b-1m,streaming_llm,0.25,sw,0.07,1.0,0.535,0.07,0.535
qwen25-7b-1m,streaming_llm,0.25,vi,0.29,0.98,0.635,0.27,0.635
qwen25-7b-1m,streaming_llm,0.25,zh,0.27,0.98,0.625,0.25,0.625
qwen25-7b-1m,streaming_llm,0.5,en,0.45,0.97,0.71,0.42,0.71
qwen25-7b-1m,streaming_llm,0.5,ja,0.46,0.57,0.515,0.03,0.515
qwen25-7b-1m,streaming_llm,0.5,ko,0.48,0.41,0.445,-0.11,0.445
qwen25-7b-1m,streaming_llm,0.5,pl,0.49,1.0,0.745,0.49,0.745
qwen25-7b-1m,streaming_llm,0.5,sw,0.11,0.93,0.52,0.04,0.52
qwen25-7b-1m,streaming_llm,0.5,vi,0.5,0.96,0.73,0.46,0.73
qwen25-7b-1m,streaming_llm,0.5,zh,0.43,0.97,0.7,0.4,0.7
