model,arm,task,press,kept,lang,bin,acc,n
llama31-8b,joint,niah_single,none,1.0,sw,.5-.75,1.0,16
llama31-8b,joint,niah_single,none,1.0,sw,.75-1,0.9643,28
llama31-8b,joint,niah_single,none,1.0,vi,0-.25,1.0,26
llama31-8b,joint,niah_single,none,1.0,vi,.25-.5,1.0,22
llama31-8b,joint,niah_single,none,1.0,vi,.5-.75,1.0,21
llama31-8b,joint,niah_single,none,1.0,vi,.75-1,0.7419,31
llama31-8b,joint,niah_single,none,1.0,zh,0-.25,0.9688,32
llama31-8b,joint,niah_single,none,1.0,zh,.25-.5,1.0,24
llama31-8b,joint,niah_single,none,1.0,zh,.5-.75,1.0,16
llama31-8b,joint,niah_single,none,1.0,zh,.75-1,0.9643,28
llama31-8b,joint,niah_single,snapkv,0.25,en,0-.25,1.0,26
llama31-8b,joint,niah_single,snapkv,0.25,en,.25-.5,1.0,28
llama31-8b,joint,niah_single,snapkv,0.25,en,.5-.75,1.0,18
llama31-8b,joint,niah_single,snapkv,0.25,en,.75-1,1.0,28
llama31-8b,joint,niah_single,snapkv,0.25,ja,0-.25,1.0,27
llama31-8b,joint,niah_single,snapkv,0.25,ja,.25-.5,1.0,27
llama31-8b,joint,niah_single,snapkv,0.25,ja,.5-.75,1.0,18
llama31-8b,joint,niah_single,snapkv,0.25,ja,.75-1,0.9286,28
llama31-8b,joint,niah_single,snapkv,0.25,ko,0-.25,0.9259,27
llama31-8b,joint,niah_single,snapkv,0.25,ko,.25-.5,0.875,24
llama31-8b,joint,niah_single,snapkv,0.25,ko,.5-.75,0.7143,21
llama31-8b,joint,niah_single,snapkv,0.25,ko,.75-1,0.5,28
llama31-8b,joint,niah_single,snapkv,0.25,pl,0-.25,1.0,32
llama31-8b,joint,niah_single,snapkv,0.25,pl,.25-.5,1.0,22
llama31-8b,joint,niah_single,snapkv,0.25,pl,.5-.75,0.9444,18
llama31-8b,joint,niah_single,snapkv,0.25,pl,.75-1,0.4286,28
llama31-8b,joint,niah_single,snapkv,0.25,sw,0-.25,0.7812,32
llama31-8b,joint,niah_single,snapkv,0.25,sw,.25-.5,0.9583,24
llama31-8b,joint,niah_single,snapkv,0.25,sw,.5-.75,1.0,16
llama31-8b,joint,niah_single,snapkv,0.25,sw,.75-1,1.0,28
llama31-8b,joint,niah_single,snapkv,0.25,vi,0-.25,1.0,26
llama31-8b,joint,niah_single,snapkv,0.25,vi,.25-.5,1.0,22
llama31-8b,joint,niah_single,snapkv,0.25,vi,.5-.75,1.0,21
llama31-8b,joint,niah_single,snapkv,0.25,vi,.75-1,0.7742,31
llama31-8b,joint,niah_single,snapkv,0.25,zh,0-.25,0.9688,32
llama31-8b,joint,niah_single,snapkv,0.25,zh,.25-.5,1.0,24
llama31-8b,joint,niah_single,snapkv,0.25,zh,.5-.75,1.0,16
llama31-8b,joint,niah_single,snapkv,0.25,zh,.75-1,0.9643,28
llama31-8b,joint,niah_single,snapkv,0.5,en,0-.25,1.0,26
llama31-8b,joint,niah_single,snapkv,0.5,en,.25-.5,1.0,28
llama31-8b,joint,niah_single,snapkv,0.5,en,.5-.75,1.0,18
llama31-8b,joint,niah_single,snapkv,0.5,en,.75-1,1.0,28
llama31-8b,joint,niah_single,snapkv,0.5,ja,0-.25,1.0,27
llama31-8b,joint,niah_single,snapkv,0.5,ja,.25-.5,1.0,27
llama31-8b,joint,niah_single,snapkv,0.5,ja,.5-.75,1.0,18
llama31-8b,joint,niah_single,snapkv,0.5,ja,.75-1,0.9286,28
llama31-8b,joint,niah_single,snapkv,0.5,ko,0-.25,0.9259,27
llama31-8b,joint,niah_single,snapkv,0.5,ko,.25-.5,0.875,24
llama31-8b,joint,niah_single,snapkv,0.5,ko,.5-.75,0.7619,21
llama31-8b,joint,niah_single,snapkv,0.5,ko,.75-1,0.5,28
llama31-8b,joint,niah_single,snapkv,0.5,pl,0-.25,1.0,32
llama31-8b,joint,niah_single,snapkv,0.5,pl,.25-.5,1.0,22
llama31-8b,joint,niah_single,snapkv,0.5,pl,.5-.75,0.9444,18
llama31-8b,joint,niah_single,snapkv,0.5,pl,.75-1,0.4286,28
llama31-8b,joint,niah_single,snapkv,0.5,sw,0-.25,0.8125,32
llama31-8b,joint,niah_single,snapkv,0.5,sw,.25-.5,0.9167,24
llama31-8b,joint,niah_single,snapkv,0.5,sw,.5-.75,1.0,16
llama31-8b,joint,niah_single,snapkv,0.5,sw,.75-1,1.0,28
llama31-8b,joint,niah_single,snapkv,0.5,vi,0-.25,1.0,26
llama31-8b,joint,niah_single,snapkv,0.5,vi,.25-.5,1.0,22
llama31-8b,joint,niah_single,snapkv,0.5,vi,.5-.75,1.0,21
llama31-8b,joint,niah_single,snapkv,0.5,vi,.75-1,0.7742,31
llama31-8b,joint,niah_single,snapkv,0.5,zh,0-.25,0.9688,32
llama31-8b,joint,niah_single,snapkv,0.5,zh,.25-.5,1.0,24
llama31-8b,joint,niah_single,snapkv,0.5,zh,.5-.75,1.0,16
llama31-8b,joint,niah_single,snapkv,0.5,zh,.75-1,0.9643,28
llama31-8b,joint,niah_single,streaming_llm,0.25,en,0-.25,0.0,26
llama31-8b,joint,niah_single,streaming_llm,0.25,en,.25-.5,0.0,28
llama31-8b,joint,niah_single,streaming_llm,0.25,en,.5-.75,0.0,18
llama31-8b,joint,niah_single,streaming_llm,0.25,en,.75-1,1.0,28
llama31-8b,joint,niah_single,streaming_llm,0.25,ja,0-.25,0.0,27
llama31-8b,joint,niah_single,streaming_llm,0.25,ja,.25-.5,0.0,27
llama31-8b,joint,niah_single,streaming_llm,0.25,ja,.5-.75,0.0,18
llama31-8b,joint,niah_single,streaming_llm,0.25,ja,.75-1,0.9286,28
llama31-8b,joint,niah_single,streaming_llm,0.25,ko,0-.25,0.0,27
llama31-8b,joint,niah_single,streaming_llm,0.25,ko,.25-.5,0.0,24
llama31-8b,joint,niah_single,streaming_llm,0.25,ko,.5-.75,0.0,21
llama31-8b,joint,niah_single,streaming_llm,0.25,ko,.75-1,0.5357,28
llama31-8b,joint,niah_single,streaming_llm,0.25,pl,0-.25,0.0,32
llama31-8b,joint,niah_single,streaming_llm,0.25,pl,.25-.5,0.0,22
llama31-8b,joint,niah_single,streaming_llm,0.25,pl,.5-.75,0.0,18
llama31-8b,joint,niah_single,streaming_llm,0.25,pl,.75-1,0.4643,28
llama31-8b,joint,niah_single,streaming_llm,0.25,sw,0-.25,0.0,32
llama31-8b,joint,niah_single,streaming_llm,0.25,sw,.25-.5,0.0,24
llama31-8b,joint,niah_single,streaming_llm,0.25,sw,.5-.75,0.0,16
llama31-8b,joint,niah_single,streaming_llm,0.25,sw,.75-1,1.0,28
llama31-8b,joint,niah_single,streaming_llm,0.25,vi,0-.25,0.0,26
llama31-8b,joint,niah_single,streaming_llm,0.25,vi,.25-.5,0.0,22
llama31-8b,joint,niah_single,streaming_llm,0.25,vi,.5-.75,0.0,21
llama31-8b,joint,niah_single,streaming_llm,0.25,vi,.75-1,0.7742,31
llama31-8b,joint,niah_single,streaming_llm,0.25,zh,0-.25,0.0,32
llama31-8b,joint,niah_single,streaming_llm,0.25,zh,.25-.5,0.0,24
llama31-8b,joint,niah_single,streaming_llm,0.25,zh,.5-.75,0.0,16
llama31-8b,joint,niah_single,streaming_llm,0.25,zh,.75-1,0.9643,28
llama31-8b,joint,niah_single,streaming_llm,0.5,en,0-.25,0.0,26
llama31-8b,joint,niah_single,streaming_llm,0.5,en,.25-.5,0.0,28
llama31-8b,joint,niah_single,streaming_llm,0.5,en,.5-.75,1.0,18
llama31-8b,joint,niah_single,streaming_llm,0.5,en,.75-1,1.0,28
llama31-8b,joint,niah_single,streaming_llm,0.5,ja,0-.25,0.0,27
llama31-8b,joint,niah_single,streaming_llm,0.5,ja,.25-.5,0.0,27
