model,arm,task,press,kept,lang,bin,acc,n
llama31-8b,qa,niah_single,streaming_llm,0.25,sw,0-.25,0.0,32
llama31-8b,qa,niah_single,streaming_llm,0.25,sw,.25-.5,0.0,24
llama31-8b,qa,niah_single,streaming_llm,0.25,sw,.5-.75,0.0,16
llama31-8b,qa,niah_single,streaming_llm,0.25,sw,.75-1,0.9643,28
llama31-8b,qa,niah_single,streaming_llm,0.25,vi,0-.25,0.0,26
llama31-8b,qa,niah_single,streaming_llm,0.25,vi,.25-.5,0.0,22
llama31-8b,qa,niah_single,streaming_llm,0.25,vi,.5-.75,0.0,21
llama31-8b,qa,niah_single,streaming_llm,0.25,vi,.75-1,0.6129,31
llama31-8b,qa,niah_single,streaming_llm,0.25,zh,0-.25,0.0,32
llama31-8b,qa,niah_single,streaming_llm,0.25,zh,.25-.5,0.0,24
llama31-8b,qa,niah_single,streaming_llm,0.25,zh,.5-.75,0.0,16
llama31-8b,qa,niah_single,streaming_llm,0.25,zh,.75-1,0.9643,28
llama31-8b,qa,niah_single,streaming_llm,0.5,en,0-.25,0.0,26
llama31-8b,qa,niah_single,streaming_llm,0.5,en,.25-.5,0.0,28
llama31-8b,qa,niah_single,streaming_llm,0.5,en,.5-.75,1.0,18
llama31-8b,qa,niah_single,streaming_llm,0.5,en,.75-1,1.0,28
llama31-8b,qa,niah_single,streaming_llm,0.5,ja,0-.25,0.0,27
llama31-8b,qa,niah_single,streaming_llm,0.5,ja,.25-.5,0.0,27
llama31-8b,qa,niah_single,streaming_llm,0.5,ja,.5-.75,1.0,18
llama31-8b,qa,niah_single,streaming_llm,0.5,ja,.75-1,0.9643,28
llama31-8b,qa,niah_single,streaming_llm,0.5,ko,0-.25,0.0,27
llama31-8b,qa,niah_single,streaming_llm,0.5,ko,.25-.5,0.0,24
llama31-8b,qa,niah_single,streaming_llm,0.5,ko,.5-.75,0.7619,21
llama31-8b,qa,niah_single,streaming_llm,0.5,ko,.75-1,0.7857,28
llama31-8b,qa,niah_single,streaming_llm,0.5,pl,0-.25,0.0,32
llama31-8b,qa,niah_single,streaming_llm,0.5,pl,.25-.5,0.1364,22
llama31-8b,qa,niah_single,streaming_llm,0.5,pl,.5-.75,1.0,18
llama31-8b,qa,niah_single,streaming_llm,0.5,pl,.75-1,1.0,28
llama31-8b,qa,niah_single,streaming_llm,0.5,sw,0-.25,0.0,32
llama31-8b,qa,niah_single,streaming_llm,0.5,sw,.25-.5,0.0,24
llama31-8b,qa,niah_single,streaming_llm,0.5,sw,.5-.75,1.0,16
llama31-8b,qa,niah_single,streaming_llm,0.5,sw,.75-1,0.9643,28
llama31-8b,qa,niah_single,streaming_llm,0.5,vi,0-.25,0.0,26
llama31-8b,qa,niah_single,streaming_llm,0.5,vi,.25-.5,0.0,22
llama31-8b,qa,niah_single,streaming_llm,0.5,vi,.5-.75,1.0,21
llama31-8b,qa,niah_single,streaming_llm,0.5,vi,.75-1,0.6129,31
llama31-8b,qa,niah_single,streaming_llm,0.5,zh,0-.25,0.0,32
llama31-8b,qa,niah_single,streaming_llm,0.5,zh,.25-.5,0.0,24
llama31-8b,qa,niah_single,streaming_llm,0.5,zh,.5-.75,1.0,16
llama31-8b,qa,niah_single,streaming_llm,0.5,zh,.75-1,0.9643,28
qwen25-7b-1m,joint,niah_single,knorm,0.25,en,0-.25,0.0,26
qwen25-7b-1m,joint,niah_single,knorm,0.25,en,.25-.5,0.0,28
qwen25-7b-1m,joint,niah_single,knorm,0.25,en,.5-.75,0.0,18
qwen25-7b-1m,joint,niah_single,knorm,0.25,en,.75-1,0.0357,28
qwen25-7b-1m,joint,niah_single,knorm,0.25,ja,0-.25,0.037,27
qwen25-7b-1m,joint,niah_single,knorm,0.25,ja,.25-.5,0.0,27
qwen25-7b-1m,joint,niah_single,knorm,0.25,ja,.5-.75,0.0,18
qwen25-7b-1m,joint,niah_single,knorm,0.25,ja,.75-1,0.0,28
qwen25-7b-1m,joint,niah_single,knorm,0.25,ko,0-.25,0.1111,27
qwen25-7b-1m,joint,niah_single,knorm,0.25,ko,.25-.5,0.0417,24
qwen25-7b-1m,joint,niah_single,knorm,0.25,ko,.5-.75,0.0,21
qwen25-7b-1m,joint,niah_single,knorm,0.25,ko,.75-1,0.0357,28
qwen25-7b-1m,joint,niah_single,knorm,0.25,pl,0-.25,0.0312,32
qwen25-7b-1m,joint,niah_single,knorm,0.25,pl,.25-.5,0.0,22
qwen25-7b-1m,joint,niah_single,knorm,0.25,pl,.5-.75,0.0,18
qwen25-7b-1m,joint,niah_single,knorm,0.25,pl,.75-1,0.0,28
qwen25-7b-1m,joint,niah_single,knorm,0.25,sw,0-.25,0.0312,32
qwen25-7b-1m,joint,niah_single,knorm,0.25,sw,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,knorm,0.25,sw,.5-.75,0.0,16
qwen25-7b-1m,joint,niah_single,knorm,0.25,sw,.75-1,0.0,28
qwen25-7b-1m,joint,niah_single,knorm,0.25,vi,0-.25,0.0,26
qwen25-7b-1m,joint,niah_single,knorm,0.25,vi,.25-.5,0.0,22
qwen25-7b-1m,joint,niah_single,knorm,0.25,vi,.5-.75,0.0,21
qwen25-7b-1m,joint,niah_single,knorm,0.25,vi,.75-1,0.0,31
qwen25-7b-1m,joint,niah_single,knorm,0.25,zh,0-.25,0.0,32
qwen25-7b-1m,joint,niah_single,knorm,0.25,zh,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,knorm,0.25,zh,.5-.75,0.0,16
qwen25-7b-1m,joint,niah_single,knorm,0.25,zh,.75-1,0.0,28
qwen25-7b-1m,joint,niah_single,knorm,0.5,en,0-.25,0.1923,26
qwen25-7b-1m,joint,niah_single,knorm,0.5,en,.25-.5,0.0357,28
qwen25-7b-1m,joint,niah_single,knorm,0.5,en,.5-.75,0.0556,18
qwen25-7b-1m,joint,niah_single,knorm,0.5,en,.75-1,0.0714,28
qwen25-7b-1m,joint,niah_single,knorm,0.5,ja,0-.25,0.1852,27
qwen25-7b-1m,joint,niah_single,knorm,0.5,ja,.25-.5,0.037,27
qwen25-7b-1m,joint,niah_single,knorm,0.5,ja,.5-.75,0.1111,18
qwen25-7b-1m,joint,niah_single,knorm,0.5,ja,.75-1,0.0,28
qwen25-7b-1m,joint,niah_single,knorm,0.5,ko,0-.25,0.5926,27
qwen25-7b-1m,joint,niah_single,knorm,0.5,ko,.25-.5,0.7083,24
qwen25-7b-1m,joint,niah_single,knorm,0.5,ko,.5-.75,0.5714,21
qwen25-7b-1m,joint,niah_single,knorm,0.5,ko,.75-1,0.6429,28
qwen25-7b-1m,joint,niah_single,knorm,0.5,pl,0-.25,0.0312,32
qwen25-7b-1m,joint,niah_single,knorm,0.5,pl,.25-.5,0.0909,22
qwen25-7b-1m,joint,niah_single,knorm,0.5,pl,.5-.75,0.1111,18
qwen25-7b-1m,joint,niah_single,knorm,0.5,pl,.75-1,0.0714,28
qwen25-7b-1m,joint,niah_single,knorm,0.5,sw,0-.25,0.1875,32
qwen25-7b-1m,joint,niah_single,knorm,0.5,sw,.25-.5,0.0833,24
qwen25-7b-1m,joint,niah_single,knorm,0.5,sw,.5-.75,0.0,16
qwen25-7b-1m,joint,niah_single,knorm,0.5,sw,.75-1,0.0,28
qwen25-7b-1m,joint,niah_single,knorm,0.5,vi,0-.25,0.1538,26
qwen25-7b-1m,joint,niah_single,knorm,0.5,vi,.25-.5,0.0455,22
qwen25-7b-1m,joint,niah_single,knorm,0.5,vi,.5-.75,0.0952,21
qwen25-7b-1m,joint,niah_single,knorm,0.5,vi,.75-1,0.129,31
qwen25-7b-1m,joint,niah_single,knorm,0.5,zh,0-.25,0.2188,32
qwen25-7b-1m,joint,niah_single,knorm,0.5,zh,.25-.5,0.0417,24
qwen25-7b-1m,joint,niah_single,knorm,0.5,zh,.5-.75,0.0,16
qwen25-7b-1m,joint,niah_single,knorm,0.5,zh,.75-1,0.0357,28
qwen25-7b-1m,joint,niah_single,none,1.0,en,0-.25,1.0,26
qwen25-7b-1m,joint,niah_single,none,1.0,en,.25-.5,1.0,28
qwen25-7b-1m,joint,niah_single,none,1.0,en,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,none,1.0,en,.75-1,0.9286,28
qwen25-7b-1m,joint,niah_single,none,1.0,ja,0-.25,0.8889,27
qwen25-7b-1m,joint,niah_single,none,1.0,ja,.25-.5,0.8889,27
qwen25-7b-1m,joint,niah_single,none,1.0,ja,.5-.75,0.9444,18
qwen25-7b-1m,joint,niah_single,none,1.0,ja,.75-1,0.8929,28
qwen25-7b-1m,joint,niah_single,none,1.0,ko,0-.25,1.0,27
qwen25-7b-1m,joint,niah_single,none,1.0,ko,.25-.5,1.0,24
qwen25-7b-1m,joint,niah_single,none,1.0,ko,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,none,1.0,ko,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,none,1.0,pl,0-.25,1.0,32
qwen25-7b-1m,joint,niah_single,none,1.0,pl,.25-.5,1.0,22
qwen25-7b-1m,joint,niah_single,none,1.0,pl,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,none,1.0,pl,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,none,1.0,sw,0-.25,0.5625,32
qwen25-7b-1m,joint,niah_single,none,1.0,sw,.25-.5,0.6667,24
qwen25-7b-1m,joint,niah_single,none,1.0,sw,.5-.75,0.5625,16
qwen25-7b-1m,joint,niah_single,none,1.0,sw,.75-1,0.4643,28
qwen25-7b-1m,joint,niah_single,none,1.0,vi,0-.25,0.9615,26
qwen25-7b-1m,joint,niah_single,none,1.0,vi,.25-.5,1.0,22
qwen25-7b-1m,joint,niah_single,none,1.0,vi,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,none,1.0,vi,.75-1,0.9032,31
qwen25-7b-1m,joint,niah_single,none,1.0,zh,0-.25,1.0,32
qwen25-7b-1m,joint,niah_single,none,1.0,zh,.25-.5,1.0,24
qwen25-7b-1m,joint,niah_single,none,1.0,zh,.5-.75,1.0,16
qwen25-7b-1m,joint,niah_single,none,1.0,zh,.75-1,0.9286,28
qwen25-7b-1m,joint,niah_single,snapkv,0.25,en,0-.25,1.0,26
qwen25-7b-1m,joint,niah_single,snapkv,0.25,en,.25-.5,1.0,28
qwen25-7b-1m,joint,niah_single,snapkv,0.25,en,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,snapkv,0.25,en,.75-1,0.9286,28
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ja,0-.25,0.9259,27
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ja,.25-.5,0.9259,27
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ja,.5-.75,0.9444,18
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ja,.75-1,0.8929,28
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ko,0-.25,1.0,27
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ko,.25-.5,1.0,24
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ko,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,snapkv,0.25,ko,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,snapkv,0.25,pl,0-.25,1.0,32
qwen25-7b-1m,joint,niah_single,snapkv,0.25,pl,.25-.5,1.0,22
qwen25-7b-1m,joint,niah_single,snapkv,0.25,pl,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,snapkv,0.25,pl,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,snapkv,0.25,sw,0-.25,0.4688,32
qwen25-7b-1m,joint,niah_single,snapkv,0.25,sw,.25-.5,0.5,24
qwen25-7b-1m,joint,niah_single,snapkv,0.25,sw,.5-.75,0.5625,16
qwen25-7b-1m,joint,niah_single,snapkv,0.25,sw,.75-1,0.4286,28
qwen25-7b-1m,joint,niah_single,snapkv,0.25,vi,0-.25,0.9615,26
qwen25-7b-1m,joint,niah_single,snapkv,0.25,vi,.25-.5,1.0,22
qwen25-7b-1m,joint,niah_single,snapkv,0.25,vi,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,snapkv,0.25,vi,.75-1,0.9032,31
qwen25-7b-1m,joint,niah_single,snapkv,0.25,zh,0-.25,1.0,32
qwen25-7b-1m,joint,niah_single,snapkv,0.25,zh,.25-.5,1.0,24
qwen25-7b-1m,joint,niah_single,snapkv,0.25,zh,.5-.75,1.0,16
qwen25-7b-1m,joint,niah_single,snapkv,0.25,zh,.75-1,0.9286,28
qwen25-7b-1m,joint,niah_single,snapkv,0.5,en,0-.25,1.0,26
qwen25-7b-1m,joint,niah_single,snapkv,0.5,en,.25-.5,1.0,28
qwen25-7b-1m,joint,niah_single,snapkv,0.5,en,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,snapkv,0.5,en,.75-1,0.9286,28
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ja,0-.25,1.0,27
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ja,.25-.5,0.9259,27
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ja,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ja,.75-1,0.8929,28
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ko,0-.25,1.0,27
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ko,.25-.5,1.0,24
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ko,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,snapkv,0.5,ko,.75-1,0.9643,28
qwen25-7b-1m,joint,niah_single,snapkv,0.5,pl,0-.25,1.0,32
qwen25-7b-1m,joint,niah_single,snapkv,0.5,pl,.25-.5,1.0,22
qwen25-7b-1m,joint,niah_single,snapkv,0.5,pl,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,snapkv,0.5,pl,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,snapkv,0.5,sw,0-.25,0.6562,32
qwen25-7b-1m,joint,niah_single,snapkv,0.5,sw,.25-.5,0.6667,24
qwen25-7b-1m,joint,niah_single,snapkv,0.5,sw,.5-.75,0.6875,16
qwen25-7b-1m,joint,niah_single,snapkv,0.5,sw,.75-1,0.3929,28
qwen25-7b-1m,joint,niah_single,snapkv,0.5,vi,0-.25,0.9615,26
qwen25-7b-1m,joint,niah_single,snapkv,0.5,vi,.25-.5,1.0,22
qwen25-7b-1m,joint,niah_single,snapkv,0.5,vi,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,snapkv,0.5,vi,.75-1,0.9032,31
qwen25-7b-1m,joint,niah_single,snapkv,0.5,zh,0-.25,1.0,32
qwen25-7b-1m,joint,niah_single,snapkv,0.5,zh,.25-.5,1.0,24
qwen25-7b-1m,joint,niah_single,snapkv,0.5,zh,.5-.75,1.0,16
qwen25-7b-1m,joint,niah_single,snapkv,0.5,zh,.75-1,0.9286,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,en,0-.25,0.0,26
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,en,.25-.5,0.0,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,en,.5-.75,0.0,18
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,en,.75-1,0.9643,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ja,0-.25,0.0,27
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ja,.25-.5,0.0,27
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ja,.5-.75,0.0,18
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ja,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ko,0-.25,0.0,27
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ko,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ko,.5-.75,0.0,21
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,ko,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,pl,0-.25,0.0,32
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,pl,.25-.5,0.0,22
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,pl,.5-.75,0.0,18
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,pl,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,sw,0-.25,0.0,32
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,sw,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,sw,.5-.75,0.0,16
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,sw,.75-1,0.5,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,vi,0-.25,0.0,26
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,vi,.25-.5,0.0,22
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,vi,.5-.75,0.0,21
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,vi,.75-1,0.9032,31
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,zh,0-.25,0.0,32
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,zh,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,zh,.5-.75,0.0,16
qwen25-7b-1m,joint,niah_single,streaming_llm,0.25,zh,.75-1,0.8929,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,en,0-.25,0.0,26
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,en,.25-.5,0.0,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,en,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,en,.75-1,0.9643,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ja,0-.25,0.0,27
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ja,.25-.5,0.0,27
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ja,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ja,.75-1,0.9643,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ko,0-.25,0.0,27
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ko,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ko,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,ko,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,pl,0-.25,0.0,32
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,pl,.25-.5,0.1364,22
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,pl,.5-.75,1.0,18
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,pl,.75-1,1.0,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,sw,0-.25,0.0,32
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,sw,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,sw,.5-.75,0.625,16
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,sw,.75-1,0.5357,28
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,vi,0-.25,0.0,26
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,vi,.25-.5,0.0,22
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,vi,.5-.75,1.0,21
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,vi,.75-1,0.9032,31
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,zh,0-.25,0.0,32
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,zh,.25-.5,0.0,24
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,zh,.5-.75,1.0,16
qwen25-7b-1m,joint,niah_single,streaming_llm,0.5,zh,.75-1,0.9286,28
qwen25-7b-1m,qa,niah_single,knorm,0.25,en,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,knorm,0.25,en,.25-.5,0.0357,28
qwen25-7b-1m,qa,niah_single,knorm,0.25,en,.5-.75,0.0,18
qwen25-7b-1m,qa,niah_single,knorm,0.25,en,.75-1,0.0357,28
qwen25-7b-1m,qa,niah_single,knorm,0.25,ja,0-.25,0.1111,27
qwen25-7b-1m,qa,niah_single,knorm,0.25,ja,.25-.5,0.0,27
qwen25-7b-1m,qa,niah_single,knorm,0.25,ja,.5-.75,0.0,18
qwen25-7b-1m,qa,niah_single,knorm,0.25,ja,.75-1,0.0,28
qwen25-7b-1m,qa,niah_single,knorm,0.25,ko,0-.25,0.0741,27
qwen25-7b-1m,qa,niah_single,knorm,0.25,ko,.25-.5,0.0417,24
qwen25-7b-1m,qa,niah_single,knorm,0.25,ko,.5-.75,0.0,21
qwen25-7b-1m,qa,niah_single,knorm,0.25,ko,.75-1,0.0357,28
qwen25-7b-1m,qa,niah_single,knorm,0.25,pl,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,knorm,0.25,pl,.25-.5,0.0,22
qwen25-7b-1m,qa,niah_single,knorm,0.25,pl,.5-.75,0.0,18
qwen25-7b-1m,qa,niah_single,knorm,0.25,pl,.75-1,0.0357,28
qwen25-7b-1m,qa,niah_single,knorm,0.25,sw,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,knorm,0.25,sw,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,knorm,0.25,sw,.5-.75,0.0,16
qwen25-7b-1m,qa,niah_single,knorm,0.25,sw,.75-1,0.0,28
qwen25-7b-1m,qa,niah_single,knorm,0.25,vi,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,knorm,0.25,vi,.25-.5,0.0455,22
qwen25-7b-1m,qa,niah_single,knorm,0.25,vi,.5-.75,0.0476,21
qwen25-7b-1m,qa,niah_single,knorm,0.25,vi,.75-1,0.0,31
qwen25-7b-1m,qa,niah_single,knorm,0.25,zh,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,knorm,0.25,zh,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,knorm,0.25,zh,.5-.75,0.0,16
qwen25-7b-1m,qa,niah_single,knorm,0.25,zh,.75-1,0.0,28
qwen25-7b-1m,qa,niah_single,knorm,0.5,en,0-.25,0.1538,26
qwen25-7b-1m,qa,niah_single,knorm,0.5,en,.25-.5,0.0,28
qwen25-7b-1m,qa,niah_single,knorm,0.5,en,.5-.75,0.0,18
qwen25-7b-1m,qa,niah_single,knorm,0.5,en,.75-1,0.0,28
qwen25-7b-1m,qa,niah_single,knorm,0.5,ja,0-.25,0.1481,27
qwen25-7b-1m,qa,niah_single,knorm,0.5,ja,.25-.5,0.037,27
qwen25-7b-1m,qa,niah_single,knorm,0.5,ja,.5-.75,0.0556,18
qwen25-7b-1m,qa,niah_single,knorm,0.5,ja,.75-1,0.0357,28
qwen25-7b-1m,qa,niah_single,knorm,0.5,ko,0-.25,0.6296,27
qwen25-7b-1m,qa,niah_single,knorm,0.5,ko,.25-.5,0.7083,24
qwen25-7b-1m,qa,niah_single,knorm,0.5,ko,.5-.75,0.619,21
qwen25-7b-1m,qa,niah_single,knorm,0.5,ko,.75-1,0.6071,28
qwen25-7b-1m,qa,niah_single,knorm,0.5,pl,0-.25,0.1562,32
qwen25-7b-1m,qa,niah_single,knorm,0.5,pl,.25-.5,0.2273,22
qwen25-7b-1m,qa,niah_single,knorm,0.5,pl,.5-.75,0.3333,18
qwen25-7b-1m,qa,niah_single,knorm,0.5,pl,.75-1,0.1071,28
qwen25-7b-1m,qa,niah_single,knorm,0.5,sw,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,knorm,0.5,sw,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,knorm,0.5,sw,.5-.75,0.0,16
qwen25-7b-1m,qa,niah_single,knorm,0.5,sw,.75-1,0.0,28
qwen25-7b-1m,qa,niah_single,knorm,0.5,vi,0-.25,0.1923,26
qwen25-7b-1m,qa,niah_single,knorm,0.5,vi,.25-.5,0.0455,22
qwen25-7b-1m,qa,niah_single,knorm,0.5,vi,.5-.75,0.0476,21
qwen25-7b-1m,qa,niah_single,knorm,0.5,vi,.75-1,0.129,31
qwen25-7b-1m,qa,niah_single,knorm,0.5,zh,0-.25,0.1562,32
qwen25-7b-1m,qa,niah_single,knorm,0.5,zh,.25-.5,0.0417,24
qwen25-7b-1m,qa,niah_single,knorm,0.5,zh,.5-.75,0.0,16
qwen25-7b-1m,qa,niah_single,knorm,0.5,zh,.75-1,0.0,28
qwen25-7b-1m,qa,niah_single,none,1.0,en,0-.25,1.0,26
qwen25-7b-1m,qa,niah_single,none,1.0,en,.25-.5,1.0,28
qwen25-7b-1m,qa,niah_single,none,1.0,en,.5-.75,1.0,18
qwen25-7b-1m,qa,niah_single,none,1.0,en,.75-1,0.9286,28
qwen25-7b-1m,qa,niah_single,none,1.0,ja,0-.25,0.9259,27
qwen25-7b-1m,qa,niah_single,none,1.0,ja,.25-.5,0.963,27
qwen25-7b-1m,qa,niah_single,none,1.0,ja,.5-.75,1.0,18
qwen25-7b-1m,qa,niah_single,none,1.0,ja,.75-1,0.9643,28
qwen25-7b-1m,qa,niah_single,none,1.0,ko,0-.25,1.0,27
qwen25-7b-1m,qa,niah_single,none,1.0,ko,.25-.5,1.0,24
qwen25-7b-1m,qa,niah_single,none,1.0,ko,.5-.75,1.0,21
qwen25-7b-1m,qa,niah_single,none,1.0,ko,.75-1,1.0,28
qwen25-7b-1m,qa,niah_single,none,1.0,pl,0-.25,0.9688,32
qwen25-7b-1m,qa,niah_single,none,1.0,pl,.25-.5,1.0,22
qwen25-7b-1m,qa,niah_single,none,1.0,pl,.5-.75,1.0,18
qwen25-7b-1m,qa,niah_single,none,1.0,pl,.75-1,1.0,28
qwen25-7b-1m,qa,niah_single,none,1.0,sw,0-.25,0.5312,32
qwen25-7b-1m,qa,niah_single,none,1.0,sw,.25-.5,0.5833,24
qwen25-7b-1m,qa,niah_single,none,1.0,sw,.5-.75,0.5,16
qwen25-7b-1m,qa,niah_single,none,1.0,sw,.75-1,0.3214,28
qwen25-7b-1m,qa,niah_single,none,1.0,vi,0-.25,0.9615,26
qwen25-7b-1m,qa,niah_single,none,1.0,vi,.25-.5,1.0,22
qwen25-7b-1m,qa,niah_single,none,1.0,vi,.5-.75,1.0,21
qwen25-7b-1m,qa,niah_single,none,1.0,vi,.75-1,0.9032,31
qwen25-7b-1m,qa,niah_single,none,1.0,zh,0-.25,1.0,32
qwen25-7b-1m,qa,niah_single,none,1.0,zh,.25-.5,1.0,24
qwen25-7b-1m,qa,niah_single,none,1.0,zh,.5-.75,1.0,16
qwen25-7b-1m,qa,niah_single,none,1.0,zh,.75-1,0.9286,28
qwen25-7b-1m,qa,niah_single,snapkv,0.25,en,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,snapkv,0.25,en,.25-.5,0.0,28
qwen25-7b-1m,qa,niah_single,snapkv,0.25,en,.5-.75,0.0556,18
qwen25-7b-1m,qa,niah_single,snapkv,0.25,en,.75-1,0.2143,28
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ja,0-.25,0.0,27
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ja,.25-.5,0.0,27
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ja,.5-.75,0.0556,18
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ja,.75-1,0.1786,28
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ko,0-.25,0.5185,27
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ko,.25-.5,0.5833,24
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ko,.5-.75,0.8571,21
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ko,.75-1,0.9643,28
